"","E5_BL_sig","G1_BL_sig","G5_BL_sig","G8_BL_sig","G12_BL_sig","OL_BL_sig"
"1","Gsk3b","Chkb","Axl","Bmpr1a","Braf","Pdgfrb"
"2","Mapk10",,"Bub1b","Csnk2a1","Cdk1","Rps6ka6"
"3","Phkg2",,"Cdk13","Mapk8","Cdk4","Fgfr2"
"4","Pik3r4",,"Chek2","Mark2","Jak3","Ephb3"
"5",,,"Chka","Prkd3",,"Rps6ka1"
"6",,,"Clk3","Ulk1",,"Mapk3"
"7",,,"Dck","Nrbp1",,"Bmpr2"
"8",,,"Fn3krp",,,"Mast4"
"9",,,"Ikbke",,,"Dstyk"
"10",,,"Jak1",,,"Ilk"
"11",,,"Lrrk2",,,"Mknk2"
"12",,,"Lyn",,,"Rock2"
"13",,,"Mark3",,,"Ripk2"
"14",,,"Nek3",,,"Irak4"
"15",,,"Nek9",,,"Ephb2"
"16",,,"Prkaa1",,,"Ddr1"
"17",,,"Prkacb",,,"Fn3k"
"18",,,"Prkce",,,"Prkdc"
"19",,,"Rps6kc1",,,"Hck"
"20",,,"Stk38",,,"Csnk1e"
"21",,,"Stk38l",,,"Rock1"
"22",,,"Tesk1",,,"Srpk1"
"23",,,"Tnk2",,,"Mapk7"
"24",,,"Brsk2",,,
