"","G5_fs_G5_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA","G5_fs_G12_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA","G8_fs_E5_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA","G12_fs_G12_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA","E5_fs_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G5_fs_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G8_fs_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G1_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G5_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G8_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA","G12_ss_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA"
"1","Chek1","Epha2","Frk","Fyn","Gsk3b","Axl","Bmpr1a","Chkb","Brsk2","Nrbp1","Braf"
"2","Mapk1",NA,NA,"Lats1","Mapk10","Bub1b","Csnk2a1",NA,NA,NA,"Cdk1"
"3",NA,NA,NA,NA,"Phkg2","Cdk13","Mapk8",NA,NA,NA,"Cdk4"
"4",NA,NA,NA,NA,"Pik3r4","Chek2","Mark2",NA,NA,NA,"Jak3"
"5",NA,NA,NA,NA,NA,"Chka","Prkd3",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,"Clk3","Ulk1",NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,"Dck",NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,"Fn3krp",NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,"Ikbke",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,"Jak1",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,"Lrrk2",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,"Lyn",NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,"Mark3",NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,"Nek3",NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,"Nek9",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,"Prkaa1",NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,"Prkacb",NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,"Prkce",NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,"Rps6kc1",NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,"Stk38",NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,"Stk38l",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,"Tesk1",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,"Tnk2",NA,NA,NA,NA,NA
