"","E4_fs","E5_fs","G1_fs","G5_fs","G8_fs","G12_fs"
"Acvr1b",0,1,0,1,0,1
"Aurka",0,0,0,1,0,0
"Axl",0,0,0,1,0,0
"Bmpr1a",0,0,0,0,1,0
"Bmpr2",1,0,1,1,0,1
"Bub1b",0,0,0,1,0,0
"Camk1d",0,1,0,1,1,0
"Camk2a",0,1,0,0,0,1
"Camk2d",0,0,0,1,0,1
"Cdk13",0,0,0,1,0,0
"Cdk14",0,1,0,1,0,1
"Cdk5",0,0,0,1,0,0
"Cdk6",0,0,1,1,0,0
"Chek1",0,0,0,1,0,0
"Chek2",0,0,0,1,0,0
"Chka",0,0,0,1,0,0
"Clk1",0,0,1,0,1,0
"Clk3",0,0,0,1,0,0
"Clk4",0,0,0,0,1,0
"Csk",0,0,0,0,1,0
"Csnk1e",0,0,0,1,1,0
"Csnk2a1",0,0,0,0,1,0
"Dck",0,0,0,1,0,0
"Ddr1",0,1,0,1,0,0
"Dstyk",0,1,1,1,1,0
"Egfr",0,0,0,1,0,0
"Epha2",0,0,0,1,0,0
"Epha4",1,1,1,1,1,0
"Ephb2",0,1,1,0,0,0
"Ephb3",1,1,0,1,1,1
"Ephb4",0,1,1,1,1,0
"Fer",0,1,0,1,0,0
"Fgfr1",0,1,0,0,0,0
"Fgfr2",1,1,1,1,1,0
"Fn3k",0,1,0,1,0,0
"Fn3krp",0,0,0,1,0,0
"Frk",0,0,0,0,1,0
"Fyn",0,0,0,0,0,1
"Gsk3b",0,1,0,0,0,0
"Hck",0,0,1,0,0,1
"Igf1r",0,1,0,1,0,0
"Ikbke",0,0,0,1,0,0
"Ilk",0,1,1,1,1,0
"Insr",0,1,0,1,0,0
"Irak4",0,1,0,1,1,0
"Jak1",0,0,0,1,0,0
"Lats1",0,0,0,0,0,1
"Lrrk2",0,0,0,1,0,0
"Lyn",0,0,0,1,0,0
"Map2k4",0,0,0,1,0,0
"Map4k4",0,1,0,1,0,1
"Map4k5",0,0,0,0,1,0
"Mapk1",0,0,0,1,0,0
"Mapk10",0,1,0,0,0,0
"Mapk14",0,1,0,1,0,0
"Mapk15",0,0,0,1,0,0
"Mapk3",0,1,1,1,1,1
"Mapk7",0,0,0,0,1,1
"Mapk8",0,0,0,0,1,0
"Mark2",0,0,0,0,1,0
"Mark3",0,0,0,1,0,0
"Mast4",1,0,0,1,1,1
"Melk",0,0,0,1,0,0
"Mknk2",0,1,1,1,0,1
"Nek3",0,0,0,1,0,0
"Nek9",0,0,0,1,0,0
"Nme4",0,0,1,1,0,0
"Pdgfrb",1,1,1,1,1,1
"Peak1",0,0,0,0,1,0
"Pfkl",0,0,0,1,1,0
"Phkg2",0,1,0,0,0,0
"Pik3r4",0,1,0,0,0,0
"Pikfyve",0,0,0,1,0,0
"Pip4k2b",0,0,0,1,1,0
"Pip4k2c",0,1,0,1,0,0
"Plk4",0,0,0,1,0,0
"Prkaa1",0,0,0,1,0,0
"Prkaa2",0,1,1,1,0,0
"Prkaca",0,1,0,1,1,0
"Prkacb",0,0,0,1,0,0
"Prkce",0,0,0,1,0,0
"Prkd3",0,0,0,0,1,0
"Prkdc",0,1,0,1,0,0
"Riok2",0,0,1,1,0,0
"Ripk2",1,1,1,0,0,0
"Rock1",0,0,0,1,1,0
"Rock2",0,0,1,1,1,1
"Rps6ka1",1,0,1,1,1,1
"Rps6ka6",1,1,1,1,1,1
"Rps6kc1",0,0,0,1,0,0
"Slk",0,1,0,1,0,0
"Srpk1",0,0,0,1,1,0
"Stk10",1,1,0,1,0,1
"Stk11",0,1,0,0,0,1
"Stk38",0,0,0,1,0,0
"Stk38l",0,0,0,1,0,0
"Taok3",0,1,0,1,0,0
"Tec",0,1,1,0,0,1
"Tesk1",0,0,0,1,0,0
"Tnik",0,1,0,0,0,0
"Tnk2",0,0,0,1,0,0
"Ttk",0,0,0,1,0,0
"Ulk1",0,0,0,0,1,0
