"","x"
"1","Src"
"2","Map2k1"
"3","Ttk"
"4","Acvr1"
"5","Jak1"
"6","Fer"
"7","Yes1"
"8","Cdk18"
"9","Abl2"
"10","Map2k2"
"11","Mylk"
"12","Map3k11"
"13","Cdk9"
"14","Stk4"
"15","Rps6ka6"
"16","Taok3"
"17","Pdk3"
"18","Cdk14"
"19","Bmpr2"
"20","Csnk2a2"
"21","Mapk14"
"22","Mapk1"
"23","Rock1"
"24","Epha4"
"25","Taok1"
"26","Trim28"
"27","Ipmk"
"28","Pak4"
"29","Prkd2"
"30","Rps6ka5"
"31","Prkd3"
"32","Stk38"
"33","Frk"
"34","Brd4"
"35","Camk2a"
"36","Map2k4"
"37","Acvr1b"
"38","Cdk6"
"39","Fn3k"
"40","Agk"
"41","Prkce"
"42","Syk"
"43","Map3k12"
