"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Aaas",0,0,1,0
"Aacs",1,0,1,0
"Aamdc",0,0,0,1
"Abat",0,0,0,1
"Abca1",0,1,0,0
"Abca12",0,1,0,0
"Abca2",0,1,0,1
"Abca5",0,1,0,0
"Abca7",0,1,0,1
"Abca8b",0,1,0,0
"Abcb1b",0,0,1,0
"Abcb9",0,0,1,0
"Abcc12",0,0,0,1
"Abcc3",0,1,0,0
"Abcd1",0,1,0,1
"Abce1",1,0,1,0
"Abcf2",0,0,1,0
"Abhd14b",0,1,0,1
"Abhd18",0,1,0,1
"Abhd3",0,1,0,1
"Abhd4",0,1,0,1
"Abhd6",0,1,0,1
"Ablim1",1,0,1,0
"Ablim2",0,0,0,1
"Abtb1",0,1,0,1
"Acaa1a",0,1,0,1
"Acaca",1,0,1,0
"Acacb",0,1,0,1
"Acad10",0,1,0,1
"Acad11",0,0,0,1
"Acad12",0,1,0,1
"Acat2",1,0,1,0
"Accs",0,0,0,1
"Acer2",0,1,0,0
"Ackr3",0,1,0,1
"Acly",1,0,1,0
"Acot1",0,1,0,1
"Acot11",0,0,0,1
"Acot2",0,1,0,0
"Acot3",0,1,0,0
"Acot6",0,0,0,1
"Acot7",1,0,1,0
"Acox3",0,1,0,1
"Acp2",0,1,0,1
"Acsbg1",0,1,0,0
"Acsf2",0,0,0,1
"Acsl3",0,0,0,1
"Acsl5",0,0,1,0
"Acss2",0,0,0,1
"Acta2",0,0,0,1
"Actb",1,0,1,0
"Actl6a",0,0,1,0
"Actn4",0,0,1,0
"Acvr2a",0,0,0,1
"Acy3",0,1,0,0
"Acyp1",0,0,0,1
"Adam11",0,0,0,1
"Adam12",0,0,1,0
"Adam15",0,0,0,1
"Adam19",0,0,0,1
"Adam5",0,0,0,1
"Adam8",0,0,1,0
"Adamts1",0,0,1,0
"Adamts14",1,0,1,0
"Adamts4",0,0,0,1
"Adamts6",0,1,0,0
"Adamts7",0,0,0,1
"Adamts9",1,0,1,0
"Adamtsl1",0,1,0,0
"Adamtsl3",0,0,0,1
"Adamtsl4",0,0,0,1
"Adat3",1,0,1,0
"Adck2",0,1,0,1
"Adcy7",0,0,1,0
"Adcy9",0,1,0,1
"Add1",0,0,0,1
"Adgra1",1,0,1,0
"Adgra2",0,0,1,0
"Adgrb1",0,1,0,1
