"","x"
"1","Aff2"
"2","Ago2"
"3","Ajuba"
"4","Ankrd13a"
"5","Arhgap31"
"6","Arsj"
"7","Bmper"
"8","Bok"
"9","Cav1"
"10","Cavin1"
"11","Cbx5"
"12","Cd24a"
"13","Cdc42ep3"
"14","Cobll1"
"15","Col16a1"
"16","Col5a3"
"17","Col7a1"
"18","Crybg1"
"19","Cyb5a"
"20","Cyp2b13"
"21","Cyp3a41a"
"22","Dcun1d4"
"23","Dlgap1"
"24","Dusp5"
"25","Eefsec"
"26","Efcab5"
"27","Ehd4"
"28","Eml1"
"29","Erc2"
"30","Fgf13"
"31","Garin1b"
"32","Gcat"
"33","Greb1"
"34","Gsta3"
"35","Havcr2"
"36","Hbegf"
"37","Hck"
"38","Il1r1"
"39","Insig1"
"40","Kcnh1"
"41","Kcnk2"
"42","Klra1"
"43","Lca5"
"44","Lgals1"
"45","Map6"
"46","Map9"
"47","Mdh1"
"48","Mid1ip1"
"49","Mmab"
"50","Mmd"
"51","Mob3a"
"52","Msln"
"53","Nebl"
"54","Nipal1"
"55","Nnt"
"56","Nr4a1"
"57","Nrp1"
"58","Oxct1"
"59","Pdgfd"
"60","Pdlim1"
"61","Pfkfb4"
"62","Pkp1"
"63","Plagl1"
"64","Plcl1"
"65","Pnma5"
"66","Prkar2a"
"67","Ptprb"
"68","Pwwp3b"
"69","Rab30"
"70","Rab32"
"71","Rgs2"
"72","Rimbp2"
"73","Ripor2"
"74","Sema3e"
"75","Septin9"
"76","Shh"
"77","Shmt1"
"78","Slc25a10"
"79","Slco5a1"
"80","Smpd4"
"81","Snca"
"82","Sqle"
"83","Srebf2"
"84","Stk39"
"85","Syne3"
"86","Sytl5"
"87","Tpm4"
"88","Trib1"
"89","Trim36"
"90","Ube2n"
"91","Usp17le"
"92","Zscan4f"
