"","x"
"1","Abca1"
"2","Abca12"
"3","Abca5"
"4","Abca8b"
"5","Abcc3"
"6","Acer2"
"7","Acot2"
"8","Acot3"
"9","Acsbg1"
"10","Acy3"
"11","Adamts6"
"12","Adamtsl1"
"13","Alg1"
"14","Amigo1"
"15","Ang"
"16","Angptl4"
"17","Apol8"
"18","Arsa"
"19","Atf3"
"20","Atp8a1"
"21","B3galt4"
"22","B3galt9"
"23","B3gnt5"
"24","Batf2"
"25","Best1"
"26","Bglap2"
"27","Bmp7"
"28","Btnl10"
"29","C1qtnf6"
"30","Cabp2"
"31","Cacng7"
"32","Casp4"
"33","Ccl5"
"34","Ccn5"
"35","Ccrl2"
"36","Cd247"
"37","Cd274"
"38","Cd33"
"39","Cd34"
"40","Cd47"
"41","Cd74"
"42","Cda"
"43","Cdiptos"
"44","Cebpb"
"45","Ces1a"
"46","Cfh"
"47","Cldn2"
"48","Cma2"
"49","Cmpk2"
"50","Cndp2"
"51","Col12a1"
"52","Col1a2"
"53","Creg1"
"54","Csf1"
"55","Ctbs"
"56","Ctns"
"57","Ctsa"
"58","Ctsd"
"59","Ctsh"
"60","Ctsl"
"61","Cxcl10"
"62","Cyp4b1"
"63","Dab2"
"64","Dapk2"
"65","Dcn"
"66","Ddx3y"
"67","Des"
"68","Dhrs3"
"69","Dhrs7"
"70","Dhx40"
"71","Dio2"
"72","Dmxl2"
"73","Eda2r"
"74","Efemp1"
"75","Efna1"
"76","Eif2ak2"
"77","Elapor2"
"78","Eln"
"79","Enpp4"
"80","Esrrg"
"81","Eya4"
"82","Faah"
"83","Fabp4"
"84","Fbxw20"
"85","Fchsd1"
"86","Fgl2"
"87","Flot1"
"88","Ftl1"
"89","Fut2"
"90","Fzd8"
"91","Gas6"
"92","Gbp2b"
"93","Gbp5"
"94","Ghdc"
"95","Gla"
"96","Gpr137b"
"97","Gpr19"
"98","Gpr27"
"99","Gria4"
"100","Grin2c"
"101","Grn"
"102","Gstm6"
"103","Gstp1"
"104","Gstp3"
"105","Gvin1"
"106","H1f3"
"107","H2bc23"
"108","H2bc8"
"109","H3c15"
"110","H4c12"
"111","H4c9"
"112","Helz2"
"113","Herc6"
"114","Hlf"
"115","Hmcn1"
"116","Ifi204"
"117","Ifi207"
"118","Ifi211"
"119","Ifi35"
"120","Il10rb"
"121","Il4ra"
"122","Il6"
"123","Immp2l"
"124","Inpp5a"
"125","Insr"
"126","Isg20"
"127","Itga2"
"128","Itih2"
"129","Junb"
"130","Kbtbd11"
"131","Kcnmb1"
"132","Kcp"
"133","Klf11"
"134","Klf12"
"135","Klf9"
"136","Kng2"
"137","Lcn2"
"138","Lgals3bp"
"139","Lmo2"
"140","Lrguk"
"141","Lrrc32"
"142","Ly6e"
"143","Map3k8"
"144","Marveld1"
"145","Mfsd13b"
"146","Mndal"
"147","Mocos"
"148","Mpeg1"
"149","Mppe1"
"150","Ms4a4d"
"151","Mtus2"
"152","Myo1d"
"153","Nfkbie"
"154","Nhlrc3"
"155","Nid1"
"156","Nlgn2"
"157","Nmi"
"158","Nmrk2"
"159","Nrxn1"
"160","Nrxn2"
"161","Ntng2"
"162","Oas1g"
"163","Oas2"
"164","Oasl1"
"165","Or2ag2b"
"166","Or2v1"
"167","Orm3"
"168","Ostn"
"169","Parm1"
"170","Pcdh19"
"171","Pcdhga4"
"172","Phf11b"
"173","Phf11d"
"174","Plcb2"
"175","Postn"
"176","Prdm8"
"177","Rabac1"
"178","Rabif"
"179","Rasgef1b"
"180","Repin1"
"181","Retreg3"
"182","Rnf144a"
"183","Rnf213"
"184","Rpl39"
"185","Rps21"
"186","Rps27"
"187","Rps27rt"
"188","Rsad2"
"189","Samd9l"
"190","Scand1"
"191","Scara5"
"192","Scn11a"
"193","Sema4d"
"194","Sema5a"
"195","Sema5b"
"196","Sema6a"
"197","Serpinb1b"
"198","Sgk3"
"199","Sh2d4b"
"200","Sh2d6"
"201","Shank1"
"202","Shfl"
"203","Slc12a9"
"204","Slc16a2"
"205","Slc17a8"
"206","Slc25a53"
"207","Slc27a6"
"208","Slc38a9"
"209","Slc40a1"
"210","Slpi"
"211","Sp140"
"212","Spon1"
"213","Sppl2a"
"214","Stat2"
"215","Steap4"
"216","Susd1"
"217","Synm"
"218","Tbkbp1"
"219","Tdrd9"
"220","Tenm4"
"221","Tent5a"
"222","Tep1"
"223","Tex26"
"224","Tiam2"
"225","Tlr3"
"226","Tmem106a"
"227","Tmem132b"
"228","Tmem71"
"229","Tmem98"
"230","Tmod1"
"231","Tnfaip6"
"232","Tnfrsf1a"
"233","Tpk1"
"234","Traf3ip2"
"235","Trappc6a"
"236","Trim14"
"237","Trim25"
"238","Trim5"
"239","Trp53i11"
"240","Ttll11"
"241","Unc93a2"
"242","Vmp1"
"243","Wscd1"
"244","Zfp53"
"245","Zfp655"
"246","Zfp969"
