"","x"
"1","Aaas"
"2","Abcb1b"
"3","Abcb9"
"4","Abcf2"
"5","Acsl5"
"6","Actl6a"
"7","Actn4"
"8","Adam12"
"9","Adam8"
"10","Adamts1"
"11","Adcy7"
"12","Adgra2"
"13","Ahsa1"
"14","Ak6"
"15","Akap6"
"16","Aldh18a1"
"17","Alg13"
"18","Alg3"
"19","Als2cl"
"20","Amd1"
"21","Amdhd1"
"22","Amigo2"
"23","Ammecr1"
"24","Ampd2"
"25","Angpt4"
"26","Angptl6"
"27","Ankrd26"
"28","Ankrd27"
"29","Ankrd66"
"30","Anp32b"
"31","Anp32e"
"32","Ap1s1"
"33","Ap1s3"
"34","Apcdd1"
"35","Apex2"
"36","Apobr"
"37","Aqp8"
"38","Arap3"
"39","Arc"
"40","Arhgap18"
"41","Arhgap33"
"42","Arhgap9"
"43","Arhgef39"
"44","Armcx6"
"45","Atf4"
"46","Atf6b"
"47","Atic"
"48","Atp10a"
"49","Atp13a4"
"50","Aven"
"51","Awat2"
"52","Azin1"
"53","Banf1"
"54","Bccip"
"55","Bean1"
"56","Bend3"
"57","Bhlhe22"
"58","Bop1"
"59","Brca2"
"60","Bzw2"
"61","Cacna2d3"
"62","Cacng8"
"63","Cacybp"
"64","Calcrl"
"65","Calr3"
"66","Car12"
"67","Card10"
"68","Casp8ap2"
"69","Ccdc18"
"70","Ccdc88c"
"71","Ccdc91"
"72","Ccl17"
"73","Ccp110"
"74","Cct3"
"75","Cct6a"
"76","Cct8"
"77","Cd200"
"78","Cd276"
"79","Cdca4"
"80","Cdca7"
"81","Cdca7l"
"82","Cdcp3"
"83","Cdk2"
"84","Cdsn"
"85","Cdv3"
"86","Cenpx"
"87","Cep126"
"88","Cep128"
"89","Cep295"
"90","Cep78"
"91","Cep85"
"92","Cfap298"
"93","Cgas"
"94","Chac1"
"95","Chchd4"
"96","Chd5"
"97","Chpf"
"98","Chrdl1"
"99","Chrnb1"
"100","Chrnd"
"101","Chsy1"
"102","Ciapin1"
"103","Ciita"
"104","Cit"
"105","Ckap5"
"106","Cldn12"
"107","Clns1a"
"108","Clpb"
"109","Cmah"
"110","Cmss1"
"111","Cnbp"
"112","Cnnm4"
"113","Cnot9"
"114","Coq3"
"115","Coq7"
"116","Coro1c"
"117","Cox7a1"
"118","Cpne7"
"119","Cracdl"
"120","Creb5"
"121","Crls1"
"122","Crybg3"
"123","Cse1l"
"124","Csrnp1"
"125","Cxadr"
"126","Cyb5r1"
"127","Daam2"
"128","Dach2"
"129","Dad1"
"130","Dazap1"
"131","Dbr1"
"132","Ddc"
"133","Ddost"
"134","Ddx20"
"135","Ddx3x"
"136","Denr"
"137","Deptor"
"138","Dera"
"139","Derpc"
"140","Dhcr7"
"141","Dhodh"
"142","Dicer1"
"143","Dimt1"
"144","Disp2"
"145","Dnaaf2"
"146","Dnajb5"
"147","Dnajc11"
"148","Dnajc2"
"149","Dnajc21"
"150","Dnajc25"
"151","Dnajc3"
"152","Dolpp1"
"153","Donson"
"154","Dpy30"
"155","Dtymk"
"156","Dusp22"
"157","Dusp3"
"158","Dusp8"
"159","Dyrk3"
"160","E2f3"
"161","E2f4"
"162","Ears2"
"163","Efl1"
"164","Eftud2"
"165","Egflam"
"166","Ehbp1l1"
"167","Eif1ad"
"168","Eif2s1"
"169","Eif2s2"
"170","Eif4a3"
"171","Eif4e"
"172","Eif4ebp1"
"173","Eif4g1"
"174","Eif5"
"175","Elavl1"
"176","Elovl4"
"177","Enkd1"
"178","Eno1b"
"179","Enoph1"
"180","Eny2"
"181","Epha8"
"182","Erbb3"
"183","Ergic1"
"184","Erh"
"185","Eri1"
"186","Esf1"
"187","Esyt3"
"188","Etf1"
"189","Fam107b"
"190","Farsb"
"191","Fastkd5"
"192","Fhdc1"
"193","Fhip1a"
"194","Fkbp2"
"195","Fkbp4"
"196","Flvcr1"
"197","Foxa3"
"198","Foxl1"
"199","Foxn2"
"200","Frmd4a"
"201","Fth1"
"202","Ftsj3"
"203","Fubp1"
"204","Fut1"
"205","Fut8"
"206","G3bp1"
"207","G3bp2"
"208","Gad2"
"209","Garre1"
"210","Gcnt3"
"211","Gdf15"
"212","Gemin4"
"213","Gemin5"
"214","Gfod1"
"215","Ghitm"
"216","Gjb4"
"217","Gli1"
"218","Glrp1"
"219","Gm6525"
"220","Gmfg"
"221","Gmppb"
"222","Gnl3"
"223","Golm2"
"224","Got1"
"225","Gpd2"
"226","Gpn1"
"227","Gpn2"
"228","Gprc5a"
"229","Grb10"
"230","Grid1"
"231","Gstm7"
"232","Gstp2"
"233","Gypc"
"234","H2ax"
"235","H3c3"
"236","Hapln4"
"237","Haus7"
"238","Hccs"
"239","Hdlbp"
"240","Heatr3"
"241","hEGFR"
"242","Hes1"
"243","Higd1a"
"244","Hmbs"
"245","Hmgb1"
"246","Hmgn1"
"247","Hpf1"
"248","Hspa4"
"249","Hspa5"
"250","Hspa9"
"251","Hsph1"
"252","Hyou1"
"253","Ica1"
"254","Idh3a"
"255","Ier2"
"256","Ifrd1"
"257","Il11"
"258","Il33"
"259","Immt"
"260","Imp4"
"261","Impdh1"
"262","Ing5"
"263","Inpp5d"
"264","Insyn2a"
"265","Ipo5"
"266","Iqck"
"267","Iqgap2"
"268","Itga5"
"269","Itga6"
"270","Itgb3"
"271","Itgb7"
"272","Itpa"
"273","Itpr1"
"274","Jag1"
"275","Jun"
"276","Kat2a"
"277","Katnal2"
"278","Kbtbd8"
"279","Kcnip1"
"280","Kcnj12"
"281","Kcnk1"
"282","Kcnn4"
"283","Kdelr2"
"284","Kitl"
"285","Klf2"
"286","Klf4"
"287","Klra2"
"288","Kpnb1"
"289","Kras"
"290","Krr1"
"291","Kti12"
"292","Lacc1"
"293","Lamc2"
"294","Larp1"
"295","Lclat1"
"296","Ldha"
"297","Lect2"
"298","Lif"
"299","Lin9"
"300","Llph"
"301","Lonp1"
"302","Lonrf3"
"303","Lpgat1"
"304","Lpl"
"305","Lratd2"
"306","Lrrk2"
"307","Lsg1"
"308","Lsm11"
"309","Lsm12"
"310","Lsm7"
"311","Lsm8"
"312","Ly75"
"313","Lyn"
"314","Lyz2"
"315","Magel2"
"316","Magoh"
"317","Mak16"
"318","Mal"
"319","Map1a"
"320","Map3k9"
"321","Mapk4"
"322","Marchf4"
"323","Mars1"
"324","Mast1"
"325","Mbd3"
"326","Mcam"
"327","Mcph1"
"328","Mcpt8"
"329","Mcrip2"
"330","Mdm1"
"331","Mdn1"
"332","Med19"
"333","Med8"
"334","Mei4"
"335","Met"
"336","Mettl1"
"337","Mlkl"
"338","Mogat1"
"339","Mphosph6"
"340","Mreg"
"341","Mrpl12"
"342","Mrpl42"
"343","Mrps10"
"344","Mrps22"
"345","Mrps27"
"346","Msantd3"
"347","Msh3"
"348","Msh6"
"349","Mst1"
"350","Mt3"
"351","Mybbp1a"
"352","Mycbp"
"353","Mydgf"
"354","Myof"
"355","Myom2"
"356","Naa50"
