"","x"
"1","Aamdc"
"2","Abat"
"3","Abcc12"
"4","Ablim2"
"5","Acad11"
"6","Accs"
"7","Acot11"
"8","Acot6"
"9","Acsf2"
"10","Acsl3"
"11","Acss2"
"12","Acta2"
"13","Acvr2a"
"14","Acyp1"
"15","Adam11"
"16","Adam15"
"17","Adam19"
"18","Adam5"
"19","Adamts4"
"20","Adamts7"
"21","Adamtsl3"
"22","Adamtsl4"
"23","Add1"
"24","Adgrg5"
"25","Adgrl3"
"26","Adra1d"
"27","Afap1l2"
"28","Agbl3"
"29","Ager"
"30","Agpat4"
"31","Ahdc1"
"32","Ahnak"
"33","Aipl1"
"34","Ajm1"
"35","Ak1"
"36","Ak5"
"37","Akap7"
"38","Akap8l"
"39","Aldh1l1"
"40","Aldh4a1"
"41","Amy1"
"42","Ankrd28"
"43","Ankrd35"
"44","Ankrd37"
"45","Anks1b"
"46","Ano3"
"47","Anpep"
"48","Anxa1"
"49","Anxa8"
"50","Ap3b2"
"51","Ap3m2"
"52","Apbb1"
"53","Apc2"
"54","Aqp11"
"55","Ar"
"56","Arhgef15"
"57","Arhgef18"
"58","Arhgef19"
"59","Arhgef25"
"60","Arhgef9"
"61","Arl4c"
"62","Arl6ip5"
"63","Armc2"
"64","Artn"
"65","Asah2"
"66","Atosb"
"67","Atp13a3"
"68","Atp1a3"
"69","Atp1b2"
"70","Atp2a1"
"71","Atp2b4"
"72","Bach1"
"73","Bbs2"
"74","Bbs9"
"75","Bcar3"
"76","Bcl2"
"77","Bco2"
"78","Bhlhe40"
"79","Bicdl1"
"80","Bmp4"
"81","Borcs6"
"82","Btbd19"
"83","Btbd2"
"84","Btbd3"
"85","Btbd8"
"86","C1qtnf1"
"87","C1qtnf2"
"88","C2cd4c"
"89","C8g"
"90","Cacna1a"
"91","Cacnb1"
"92","Cacnb3"
"93","Camk1d"
"94","Camk2b"
"95","Capn1"
"96","Capn6"
"97","Car5b"
"98","Car7"
"99","Carns1"
"100","Caskin1"
"101","Castor2"
"102","Catsper2"
"103","Catsperg1"
"104","Cbfa2t3"
"105","Cbln3"
"106","Cbx7"
"107","Ccdc148"
"108","Ccdc159"
"109","Ccdc24"
"110","Ccdc39"
"111","Ccdc65"
"112","Ccdc80"
"113","Ccdc87"
"114","Ccl27a"
"115","Ccl7"
"116","Ccn1"
"117","Ccn4"
"118","Ccndbp1"
"119","Ccng1"
"120","Ccnl2"
"121","Cd46"
"122","Cd59a"
"123","Cd81"
"124","Cd99l2"
"125","Cdc42ep2"
"126","Cdh13"
"127","Cdh22"
"128","Cdkn1a"
"129","Cdkn1b"
"130","Celsr3"
"131","Cfap100"
"132","Cfap43"
"133","Cfap46"
"134","Cfap97d2"
"135","Chchd5"
"136","Chd3"
"137","Cib2"
"138","Cib3"
"139","Cibar2"
"140","Cirbp"
"141","Cldn19"
"142","Clip3"
"143","Cnih2"
"144","Cnp"
"145","Cntd1"
"146","Col27a1"
"147","Col2a1"
"148","Col4a6"
"149","Col6a1"
"150","Col6a2"
"151","Col8a1"
"152","Coro1a"
"153","Cpeb1"
"154","Cpne8"
"155","Cpped1"
"156","Creb3l1"
"157","Crim1"
"158","Crip2"
"159","Crlf1"
"160","Cryab"
"161","Csad"
"162","Csf2rb2"
"163","Cspg4"
"164","Cstad"
"165","Ctnnd1"
"166","Cubn"
"167","Cyp46a1"
"168","Dact1"
"169","Dact3"
"170","Dcaf8"
"171","Dchs1"
"172","Dcst2"
"173","Ddah2"
"174","Ddr1"
"175","Ddx4"
"176","Decr2"
"177","Dennd2a"
"178","Dennd4b"
"179","Dgkb"
"180","Dgki"
"181","Dglucy"
"182","Dhrs1"
"183","Dhtkd1"
"184","Dhx57"
"185","Dipk1a"
"186","Diras1"
"187","Disc1"
"188","Dixdc1"
"189","Dkkl1"
"190","Dlx4"
"191","Dnaaf3"
"192","Dnaaf4"
"193","Dnajc6"
"194","Dnase2a"
"195","Dock9"
"196","Dok4"
"197","Dram1"
"198","Draxin"
"199","Dstyk"
"200","Dtna"
"201","Dtx4"
"202","Dysf"
"203","Dzank1"
"204","Dzip1"
"205","Ech1"
"206","Eef2k"
"207","Efhc1"
"208","Efnb1"
"209","Egr1"
"210","Egr3"
"211","Ehbp1"
"212","Ehd2"
"213","Ehf"
"214","Ell3"
"215","Elovl7"
"216","Emid1"
"217","Emilin2"
"218","Emp1"
"219","Enpp3"
"220","Entpd2"
"221","Entrep1"
"222","Epdr1"
"223","Epor"
"224","Eppk1"
"225","Ercc5"
"226","Erg"
"227","Ermard"
"228","Etfrf1"
"229","Etv1"
"230","Evpl"
"231","Exoc3l"
"232","Exoc3l4"
"233","Extl3"
"234","F3"
"235","F8"
"236","Fam117a"
"237","Fam124a"
"238","Fam131a"
"239","Fam135b"
"240","Fam161a"
"241","Fam171a2"
"242","Fam174c"
"243","Fam180a"
"244","Fam193b"
"245","Fam210b"
"246","Fam234a"
"247","Fam83h"
"248","Fat4"
"249","Fbln7"
"250","Fbn2"
"251","Fbxl16"
"252","Fbxl8"
"253","Fbxo15"
"254","Fbxo2"
"255","Fbxo6"
"256","Fbxw9"
"257","Fgf11"
"258","Fgfbp1"
"259","Fgfr2"
"260","Fgfrl1"
"261","Fhl1"
"262","Fhod3"
"263","Fign"
"264","Fignl2"
"265","Flrt3"
"266","Fmnl2"
"267","Fmnl3"
"268","Frmd4b"
"269","Frmd6"
"270","Fscn1"
"271","Fzd2"
"272","Galnt11"
"273","Galnt7"
"274","Ganc"
"275","Garem1"
"276","Gdpd5"
"277","Gfra1"
"278","Gfra2"
"279","Ghr"
"280","Gipc2"
"281","Glipr1"
"282","Gls2"
"283","Glt8d1"
"284","Glul"
"285","Gm2a"
"286","Gmpr"
"287","Gna13"
"288","Gng11"
"289","Gper1"
"290","Gpr135"
"291","Gpr173"
"292","Gpr88"
"293","Grk4"
