"","x"
"1","Aacs"
"2","Abce1"
"3","Ablim1"
"4","Acaca"
"5","Acat2"
"6","Acly"
"7","Acot7"
"8","Actb"
"9","Adamts14"
"10","Adamts9"
"11","Adat3"
"12","Adgra1"
"13","Adgrv1"
"14","Ahcy"
"15","Ahcyl"
"16","Aimp2"
"17","Ak2"
"18","Ak4"
"19","Aldh1l2"
"20","Alpl"
"21","Alyref"
"22","Ankle1"
"23","Ankrd1"
"24","Anln"
"25","Anxa2"
"26","Anxa3"
"27","Anxa5"
"28","Aqp5"
"29","Areg"
"30","Arhgap11a"
"31","Arhgap19"
"32","Arhgap22"
"33","Arhgap29"
"34","Arhgdib"
"35","Arid5a"
"36","Arl5a"
"37","Arxes2"
"38","Asap2"
"39","Asf1b"
"40","Asns"
"41","Aspm"
"42","Atad2"
"43","Atad5"
"44","Atf7ip2"
"45","Atp2a3"
"46","Aunip"
"47","Aurka"
"48","Aurkb"
"49","Avil"
"50","B3gnt3"
"51","B4galt5"
"52","Bambi"
"53","Bard1"
"54","Bcar1"
"55","Bcat1"
"56","Birc5"
"57","Blm"
"58","Bora"
"59","Brca1"
"60","Brip1"
"61","Bub1"
"62","Bub1b"
"63","Bysl"
"64","Cad"
"65","Calm1"
"66","Calr"
"67","Capns1"
"68","Card14"
"69","Cbln1"
"70","Cbx6"
"71","Ccbe1"
"72","Ccdc34"
"73","Ccdc86"
"74","Ccna2"
"75","Ccnb1"
"76","Ccnb2"
"77","Ccnd1"
"78","Ccne1"
"79","Ccne2"
"80","Ccnf"
"81","Ccnyl1"
"82","Ccsap"
"83","Cd300lb"
"84","Cdc20"
"85","Cdc25b"
"86","Cdc25c"
"87","Cdc42ep1"
"88","Cdc45"
"89","Cdc6"
"90","Cdc7"
"91","Cdca2"
"92","Cdca3"
"93","Cdca5"
"94","Cdca8"
"95","Cdh23"
"96","Cdh5"
"97","Cdh6"
"98","Cdk1"
"99","Cdk6"
"100","Cdkn3"
"101","Cdr2"
"102","Cdt1"
"103","Cemip"
"104","Cenpa"
"105","Cenpe"
"106","Cenpf"
"107","Cenph"
"108","Cenpi"
"109","Cenpk"
"110","Cenpl"
"111","Cenpm"
"112","Cenpn"
"113","Cenpp"
"114","Cenpq"
"115","Cenps"
"116","Cenpu"
"117","Cenpw"
"118","Cep152"
"119","Cep192"
"120","Cep55"
"121","Cgnl1"
"122","Chaf1a"
"123","Chaf1b"
"124","Chek1"
"125","Chek2"
"126","Chka"
"127","Chrna1"
"128","Chst1"
"129","Chst11"
"130","Chst15"
"131","Chst3"
"132","Chtf18"
"133","Ciart"
"134","Cinp"
"135","Cip2a"
"136","Ckap2"
"137","Ckap2l"
"138","Cks1b"
"139","Cks2"
"140","Clec4d"
"141","Clgn"
"142","Clspn"
"143","Cmc2"
"144","Coa7"
"145","Col18a1"
"146","Col4a3"
"147","Col4a4"
"148","Cpsf2"
"149","Creld2"
"150","Crym"
"151","Csrp2"
"152","Cstf2"
"153","Cth"
"154","Cx3cl1"
"155","Cyb5b"
"156","Cycs"
"157","Cyp1a1"
"158","Cyp4f40"
"159","Cyp51"
"160","Cyrib"
"161","Cyth4"
"162","Dap"
"163","Dbf4"
"164","Dck"
"165","Dclk1"
"166","Dclre1b"
"167","Dctd"
"168","Dctpp1"
"169","Ddah1"
"170","Ddias"
"171","Ddx11"
"172","Ddx21"
"173","Ddx39a"
"174","Dek"
"175","Depdc1a"
"176","Depdc1b"
"177","Dhcr24"
"178","Dhfr"
"179","Diaph3"
"180","Dis3"
"181","Dkc1"
"182","Dlgap5"
"183","Dna2"
"184","Dnajb11"
"185","Dnajc9"
"186","Dnmt1"
"187","Dnph1"
"188","Dntt"
"189","Dpf1"
"190","Dpf3"
"191","Dph2"
"192","Dscc1"
"193","Dtl"
"194","Dusp4"
"195","Dusp6"
"196","Dusp9"
"197","Dut"
"198","Dync1li1"
"199","E2f1"
"200","E2f2"
"201","E2f7"
"202","E2f8"
"203","Eaf1"
"204","Ebna1bp2"
"205","Ect2"
"206","Eef1e1"
"207","Efcab11"
"208","Efr3b"
"209","Ehd1"
"210","Eif1a"
"211","Eif2b3"
"212","Eif3b"
"213","Eif5a"
"214","Elfn2"
"215","Elovl6"
"216","Eme1"
"217","Eno1"
"218","Eomes"
"219","Epha2"
"220","Epop"
"221","Eps8"
"222","Ercc6l"
"223","Erg28"
"224","Ero1b"
"225","Errfi1"
"226","Esco2"
"227","Espl1"
"228","Etv4"
"229","Etv5"
"230","Etv6"
"231","Exo1"
"232","Exosc1"
"233","Exosc2"
"234","Exosc8"
"235","Ezh2"
"236","Ezr"
"237","F2r"
"238","F2rl1"
"239","Faap24"
"240","Fads2"
"241","Fads3"
"242","Fam111a"
"243","Fam136a"
"244","Fam167a"
"245","Fam83d"
"246","Fam98a"
"247","Fanca"
"248","Fancb"
"249","Fancd2"
"250","Fanci"
"251","Fancl"
"252","Fasn"
"253","Fbl"
"254","Fbxo48"
"255","Fbxo5"
"256","Fdps"
"257","Fen1"
"258","Fgf15"
"259","Fgf21"
"260","Fhl2"
"261","Fignl1"
"262","Fkbp11"
"263","Fkbp5"
"264","Flt1"
"265","Fosl1"
"266","Foxk2"
"267","Foxm1"
"268","Fpgs"
"269","Fst"
"270","Fxyd5"
"271","Fyb2"
"272","Galnt12"
"273","Gap43"
"274","Gar1"
"275","Gart"
"276","Gas2l3"
"277","Gchfr"
"278","Gemin6"
"279","Gen1"
"280","Gfm1"
"281","Gins1"
"282","Gins2"
"283","Gins3"
"284","Gja1"
"285","Gk"
"286","Glipr2"
"287","Gmnn"
"288","Gnb2"
"289","Gnpnat1"
"290","Golt1b"
"291","Gpatch4"
"292","Gpr149"
"293","Grem1"
"294","Grhl2"
"295","Grk6"
"296","Grwd1"
"297","Gspt1"
"298","Gsta1"
"299","Gsta2"
"300","Gstcd"
"301","Gsx1"
"302","Gtf3c6"
"303","Gtse1"
"304","H2ac15"
"305","H2ac24"
"306","H2ac7"
"307","H2az1"
"308","Haspin"
"309","Hat1"
"310","Haus1"
"311","Haus3"
"312","Haus5"
"313","Haus6"
"314","Hells"
"315","Hirip3"
"316","Hjurp"
"317","Hk2"
"318","Hmga1"
"319","Hmga1b"
"320","Hmga2"
"321","Hmgb2"
"322","Hmgcr"
"323","Hmgcs1"
"324","Hmgn2"
"325","Hmgn5"
"326","Hmmr"
"327","Hmx2"
"328","Hnrnpa3"
"329","Hnrnpab"
"330","Hnrnpd"
"331","Homer1"
"332","Hrob"
"333","Hsd17b7"
"334","Hsp90b1"
"335","Hspa14"
"336","Hspd1"
"337","Htr2a"
"338","Htra1"
"339","Idi1"
"340","Iffo2"
"341","Ifrd2"
"342","Igf2bp1"
"343","Igfbp3"
"344","Il18rap"
"345","Il34"
"346","Incenp"
"347","Inpp4b"
"348","Ints1"
"349","Iqgap3"
"350","Irf4"
"351","Itga3"
"352","Jdp2"
"353","Jpt2"
"354","Kbtbd6"
"355","Kcnk10"
"356","Kctd9"
"357","Kdm8"
"358","Kif11"
"359","Kif14"
"360","Kif15"
"361","Kif17"
"362","Kif18a"
"363","Kif18b"
"364","Kif20a"
"365","Kif20b"
"366","Kif22"
"367","Kif23"
"368","Kif24"
"369","Kif2c"
"370","Kif4"
"371","Kifc1"
"372","Kifc5b"
"373","Klk10"
"374","Klk8"
"375","Klra4"
"376","Kmt5a"
"377","Knl1"
"378","Knop1"
"379","Knstrn"
"380","Kntc1"
"381","Kpna2"
"382","Krt12"
"383","Krt13"
"384","Krt19"
"385","Krt20"
"386","Krt8"
"387","Krt80"
"388","L3mbtl2"
"389","Lama4"
"390","Las1l"
"391","Lat2"
"392","Lbh"
"393","Lbr"
"394","Ldlr"
"395","Leo1"
"396","Lgr6"
"397","Lgsn"
"398","Lig1"
"399","Lin54"
"400","Lingo2"
"401","Lipg"
"402","Lipt2"
"403","Lmnb1"
"404","Lmnb2"
"405","Lnx2"
"406","Lpin3"
"407","Lrp8"
"408","Lrr1"
"409","Lrrc59"
"410","Lrrfip1"
"411","Lsm2"
"412","Lsm3"
"413","Lsm4"
"414","Lsm5"
"415","Lsm6"
"416","Lss"
"417","Ltbp1"
"418","Ltv1"
"419","Lxn"
"420","Lyar"
"421","Mad2l1"
"422","Maff"
"423","Magohb"
"424","Manf"
"425","Map1b"
"426","Map2k3"
"427","Mapk6"
"428","Mastl"
"429","Matn3"
"430","Mcm10"
"431","Mcm2"
"432","Mcm3"
"433","Mcm4"
"434","Mcm5"
"435","Mcm6"
"436","Mcm7"
"437","Mcm8"
"438","Me2"
"439","Med10"
"440","Melk"
"441","Mest"
"442","Mfsd2a"
"443","Mgat4a"
"444","Mgme1"
"445","Micall2"
"446","Mis12"
"447","Mis18a"
"448","Mis18bp1"
"449","Mki67"
"450","Mlec"
"451","Mlf1"
"452","Mms22l"
"453","Mnd1"
"454","Mns1"
"455","Mphosph10"
"456","Mre11a"
"457","Mrps6"
"458","Mrto4"
"459","Msmo1"
"460","Mtbp"
"461","Mtfr2"
"462","Mthfd1"
"463","Mthfd1l"
"464","Mthfd2"
"465","Mtmr10"
"466","Mutyh"
"467","Mvd"
"468","Mvk"
"469","Mxd3"
"470","Mybl1"
"471","Mybl2"
"472","Myc"
"473","Myef2"
"474","Myef2l"
"475","Myl12a"
"476","Naa15"
"477","Naa25"
"478","Naaladl1"
"479","Nans"
"480","Nasp"
"481","Ncapd2"
"482","Ncapd3"
"483","Ncapg"
"484","Ncapg2"
"485","Ncaph"
"486","Ndc1"
"487","Ndc80"
"488","Nde1"
"489","Ndst3"
"490","Neil3"
"491","Nek2"
"492","Nes"
"493","Neurl1b"
"494","Ngef"
"495","Ngf"
"496","Ngfr"
"497","Nhp2"
"498","Nifk"
"499","Nme1"
"500","Noc3l"
"501","Noct"
"502","Nol10"
"503","Nol9"
"504","Nolc1"
"505","Nop16"
"506","Nop2"
"507","Nop56"
"508","Nop58"
"509","Npnt"
"510","Nppb"
"511","Nptx1"
"512","Nptxr"
"513","Nrn1"
"514","Nsdhl"
"515","Nsl1"
"516","Nucks1"
"517","Nuf2"
"518","Nup107"
"519","Nup133"
"520","Nup155"
"521","Nup205"
"522","Nup43"
"523","Nup62"
"524","Nup85"
"525","Nup93"
"526","Nusap1"
"527","Nutf2"
"528","Odc1"
"529","Oip5"
"530","Olig2"
"531","Orc1"
"532","Orc2"
"533","Orc6"
"534","Osbpl6"
"535","Otud1"
"536","Otud4"
"537","Pa2g4"
"538","Pacrg"
"539","Palb2"
"540","Parpbp"
"541","Parvb"
"542","Pate14"
"543","Pbk"
"544","Pcdh18"
"545","Pclaf"
"546","Pcna"
"547","Pcolce2"
"548","Pcsk9"
"549","Pdgfb"
"550","Pdia4"
"551","Pdia6"
"552","Pdlim7"
"553","Pdp1"
"554","Pdss1"
"555","Pfdn2"
"556","Pfdn4"
"557","Pfdn6"
"558","Phf19"
"559","Phgdh"
"560","Phlda1"
"561","Pif1"
"562","Piga"
"563","Pimreg"
"564","Pkmyt1"
"565","Pkn3"
"566","Plac8"
"567","Plaur"
"568","Plch1"
"569","Plk1"
"570","Plk4"
"571","Plxnd1"
"572","Pmf1"
"573","Pmvk"
"574","Poc1a"
"575","Podnl1"
"576","Pola1"
"577","Pola2"
"578","Pold1"
"579","Pole"
"580","Pole2"
"581","Polq"
"582","Polr1e"
"583","Polr3g"
"584","Pop1"
"585","Ppa1"
"586","Ppat"
"587","Ppih"
"588","Ppil1"
"589","Ppp1r14b"
"590","Prc1"
"591","Prelid3b"
"592","Prex2"
"593","Prim1"
"594","Prim2"
"595","Prkg2"
"596","Prl2c3"
"597","Prmt7"
"598","Prokr2"
"599","Prox1"
"600","Prpf31"
"601","Prr11"
"602","Prrg4"
"603","Prxl2a"
"604","Psat1"
"605","Psme3"
"606","Psph"
"607","Ptgs2"
"608","Pthlh"
"609","Ptpn5"
"610","Ptprn"
"611","Pttg1"
"612","Pum3"
"613","Pwp2"
"614","Pycr1"
"615","Rab27b"
"616","Racgap1"
"617","Rad18"
"618","Rad51"
"619","Rad51ap1"
"620","Rad51b"
"621","Rad54b"
"622","Rad54l"
"623","Rai14"
"624","Ran"
"625","Ranbp1"
"626","Rangap1"
"627","Rap1gap"
"628","Raph1"
"629","Rbbp8"
"630","Rbl1"
"631","Rbm14"
"632","Rbm19"
"633","Rbm27"
"634","Rbmx2"
"635","Rbpj"
"636","Rcc1"
"637","Recql4"
"638","Rfc2"
"639","Rfc3"
"640","Rfc4"
"641","Rfc5"
"642","Rflnb"
"643","Rgs7"
"644","Rhox5"
"645","Rhpn2"
"646","Rin1"
