"","x"
"1","Abca2"
"2","Abca7"
"3","Abcd1"
"4","Abhd14b"
"5","Abhd18"
"6","Abhd3"
"7","Abhd4"
"8","Abhd6"
"9","Abtb1"
"10","Acaa1a"
"11","Acacb"
"12","Acad10"
"13","Acad12"
"14","Ackr3"
"15","Acot1"
"16","Acox3"
"17","Acp2"
"18","Adck2"
"19","Adcy9"
"20","Adgrb1"
"21","Adh1"
"22","Adh7"
"23","Adhfe1"
"24","Adrb2"
"25","Aebp1"
"26","Agap2"
"27","Agbl5"
"28","Agmo"
"29","Ago4"
"30","Agrn"
"31","Ahnak2"
"32","Ahr"
"33","Akr1b10"
"34","Akr1c14"
"35","Aldh1a1"
"36","Aldh1a7"
"37","Aldh1b1"
"38","Aldh3a1"
"39","Aldh3b1"
"40","Aldh6a1"
"41","Alpk1"
"42","Angpt1"
"43","Ank"
"44","Aopep"
"45","Aox1"
"46","Aox4"
"47","Apba1"
"48","Aph1b"
"49","Aph1c"
"50","Apod"
"51","Apoe"
"52","Apol9a"
"53","Apol9b"
"54","App"
"55","Appl2"
"56","Aqp3"
"57","Arhgap24"
"58","Arhgap45"
"59","Arhgap6"
"60","Arhgef33"
"61","Arhgef6"
"62","Arrdc2"
"63","Arrdc3"
"64","Arsk"
"65","Asap3"
"66","Ass1"
"67","Atg14"
"68","Atg9b"
"69","Atl1"
"70","Atoh8"
"71","Atosa"
"72","Atp6v1g2"
"73","Atp7a"
"74","Atraid"
"75","Axin2"
"76","Azin2"
"77","B2m"
"78","B4galnt1"
"79","Bbs10"
"80","Bbs4"
"81","Bckdha"
"82","Bcl2l11"
"83","Bcl6"
"84","Bdh2"
"85","Bhlhe41"
"86","Bicc1"
"87","Bmf"
"88","Bnip3"
"89","Bphl"
"90","Brdt"
"91","Bst2"
"92","Btbd17"
"93","Btg2"
"94","C1ra"
"95","C1rb"
"96","C1rl"
"97","C1s1"
"98","C1s2"
"99","C3"
"100","C4b"
"101","Cacna1h"
"102","Cadm4"
"103","Calcoco1"
"104","Camk1g"
"105","Camk2n1"
"106","Caprin2"
"107","Car11"
"108","Carmil1"
"109","Carmil3"
"110","Casp1"
"111","Casp12"
"112","Casq2"
"113","Casr"
"114","Ccdc13"
"115","Ccdc17"
"116","Ccdc194"
"117","Ccdc3"
"118","Ccdc73"
"119","Ccdc92b"
"120","Ccl2"
"121","Ccno"
"122","Ccpg1"
"123","Cd109"
"124","Cd1d1"
"125","Cd68"
"126","Cd79a"
"127","Cd80"
"128","Cdc42bpg"
"129","Cdk19"
"130","Cebpa"
"131","Cebpd"
"132","Celf5"
"133","Cers1"
"134","Chchd10"
"135","Chrd"
"136","Chrnb2"
"137","Chrng"
"138","Chst2"
"139","Cideb"
"140","Cir1"
"141","Ckb"
"142","Clcn2"
"143","Clec2d"
"144","Clic5"
"145","Clk1"
"146","Cln6"
"147","Clu"
"148","Cnbd2"
"149","Cnppd1"
"150","Cntfr"
"151","Cntn6"
"152","Col11a2"
"153","Col20a1"
"154","Col23a1"
"155","Col3a1"
"156","Col4a5"
"157","Col6a3"
"158","Col9a3"
"159","Comt"
"160","Copz2"
"161","Coq10a"
"162","Coq8a"
"163","Coq8b"
"164","Coro6"
"165","Cp"
"166","Cpeb2"
"167","Cpeb3"
"168","Cpeb4"
"169","Cpq"
"170","Cpt1a"
"171","Cpt1c"
"172","Creb3l4"
"173","Crebl2"
"174","Crebrf"
"175","Csdc2"
"176","Ctsb"
"177","Ctsf"
"178","Ctso"
"179","Ctxn1"
"180","Cul9"
"181","Cxcr4"
"182","Cyb561a3"
"183","Cyb561d1"
"184","Cyp1b1"
"185","Cyp26b1"
"186","Cyp2d22"
"187","Cyp2j6"
"188","Cyp2j9"
"189","Cyp39a1"
"190","Cyp4f13"
"191","Cyp4f17"
"192","Cyp4v3"
"193","Dbndd1"
"194","Dbp"
"195","Dcaf6"
"196","Dcxr"
"197","Ddb2"
"198","Ddit4"
"199","Ddo"
"200","Ddx60"
"201","Dedd2"
"202","Dennd2c"
"203","Depp1"
"204","Dffb"
"205","Dgat2"
"206","Dgka"
"207","Dhx58"
"208","Dipk1b"
"209","Dlg4"
"210","Dll1"
"211","Dll4"
"212","Dnajc28"
"213","Dnase1l1"
"214","Dnm1"
"215","Dnm3"
"216","Doc2g"
"217","Dock2"
"218","Dpp6"
"219","Dqx1"
"220","Drc1"
"221","Dthd1"
"222","Dtx3l"
"223","Dusp15"
"224","Dyrk1b"
"225","Ebf4"
"226","Echdc2"
"227","Egf"
"228","Egfr"
"229","Eid2b"
"230","Eif2s3y"
"231","Eif4a2"
"232","Elf3"
"233","Elmo1"
"234","Emilin1"
"235","Enho"
"236","Eno2"
"237","Enpp2"
"238","Enpp5"
"239","Epha4"
"240","Ephb3"
"241","Ephx1"
"242","Ephx4"
"243","Epm2a"
"244","Eqtn"
"245","Espn"
"246","Etfbkmt"
"247","Ezh1"
"248","Fam13a"
"249","Fam13c"
"250","Fam227a"
"251","Fam241b"
"252","Fam3a"
"253","Fam43a"
"254","Fam53b"
"255","Fas"
"256","Fbxl20"
"257","Fbxl22"
"258","Fbxl9"
"259","Fbxo32"
"260","Fbxo41"
"261","Fbxo44"
"262","Fbxw10"
"263","Fcgrt"
"264","Fcho1"
"265","Fhl4"
"266","Filip1"
"267","Flcn"
"268","Flrt2"
"269","Flt3l"
"270","Flvcr2"
"271","Fmo5"
"272","Fn1"
"273","Fn3k"
"274","Fndc10"
"275","Fos"
"276","Foxc1"
"277","Foxj1"
"278","Foxo3"
"279","Foxo4"
"280","Foxo6"
"281","Frat1"
"282","Fuz"
"283","Fxyd1"
"284","Fyco1"
"285","Gab1"
"286","Gabarapl1"
"287","Gadd45a"
"288","Gadd45b"
"289","Galnt15"
"290","Galnt16"
"291","Garem2"
"292","Gas1"
"293","Gbp10"
"294","Gbp11"
"295","Gbp2"
"296","Gbp3"
"297","Gbp4"
"298","Gbp6"
"299","Gbp7"
"300","Gbp8"
"301","Gbp9"
"302","Gcnt1"
"303","Gcnt2"
"304","Gdi1"
"305","Gdpd2"
"306","Gdpd3"
"307","Gem"
"308","Ggnbp1"
"309","Glcci1"
"310","Glis3"
"311","Glrx"
"312","Gm15433"
"313","Gnal"
"314","Gng8"
"315","Gpm6b"
"316","Gpnmb"
"317","Gpr137c"
"318","Gpr146"
"319","Gpr179"
"320","Gpr75"
"321","Gprasp2"
"322","Gprc5c"
"323","Gria3"
"324","Grina"
"325","Grm7"
"326","Gsap"
"327","Gsdma"
"328","Gstm1"
"329","Gsto2"
"330","Gvin2"
"331","Gzmm"
"332","H1f2"
"333","H2ac18"
"334","H2ac25"
"335","H2ac6"
"336","H2bc21"
"337","H2bc24"
"338","H2bc27"
"339","H2bc4"
"340","H2bc6"
"341","H3c4"
