"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"1","Aacs","Abca2","Aff2","Abca1","Aaas","Aamdc"
"2","Abce1","Abca7","Ago2","Abca12","Abcb1b","Abat"
"3","Ablim1","Abcd1","Ajuba","Abca5","Abcb9","Abcc12"
"4","Acaca","Abhd14b","Ankrd13a","Abca8b","Abcf2","Ablim2"
"5","Acat2","Abhd18","Arhgap31","Abcc3","Acsl5","Acad11"
"6","Acly","Abhd3","Arsj","Acer2","Actl6a","Accs"
"7","Acot7","Abhd4","Bmper","Acot2","Actn4","Acot11"
"8","Actb","Abhd6","Bok","Acot3","Adam12","Acot6"
"9","Adamts14","Abtb1","Cav1","Acsbg1","Adam8","Acsf2"
"10","Adamts9","Acaa1a","Cavin1","Acy3","Adamts1","Acsl3"
"11","Adat3","Acacb","Cbx5","Adamts6","Adcy7","Acss2"
"12","Adgra1","Acad10","Cd24a","Adamtsl1","Adgra2","Acta2"
"13","Adgrv1","Acad12","Cdc42ep3","Alg1","Ahsa1","Acvr2a"
"14","Ahcy","Ackr3","Cobll1","Amigo1","Ak6","Acyp1"
"15","Ahcyl","Acot1","Col16a1","Ang","Akap6","Adam11"
"16","Aimp2","Acox3","Col5a3","Angptl4","Aldh18a1","Adam15"
"17","Ak2","Acp2","Col7a1","Apol8","Alg13","Adam19"
"18","Ak4","Adck2","Crybg1","Arsa","Alg3","Adam5"
"19","Aldh1l2","Adcy9","Cyb5a","Atf3","Als2cl","Adamts4"
"20","Alpl","Adgrb1","Cyp2b13","Atp8a1","Amd1","Adamts7"
"21","Alyref","Adh1","Cyp3a41a","B3galt4","Amdhd1","Adamtsl3"
"22","Ankle1","Adh7","Dcun1d4","B3galt9","Amigo2","Adamtsl4"
"23","Ankrd1","Adhfe1","Dlgap1","B3gnt5","Ammecr1","Add1"
"24","Anln","Adrb2","Dusp5","Batf2","Ampd2","Adgrg5"
"25","Anxa2","Aebp1","Eefsec","Best1","Angpt4","Adgrl3"
"26","Anxa3","Agap2","Efcab5","Bglap2","Angptl6","Adra1d"
"27","Anxa5","Agbl5","Ehd4","Bmp7","Ankrd26","Afap1l2"
"28","Aqp5","Agmo","Eml1","Btnl10","Ankrd27","Agbl3"
"29","Areg","Ago4","Erc2","C1qtnf6","Ankrd66","Ager"
"30","Arhgap11a","Agrn","Fgf13","Cabp2","Anp32b","Agpat4"
"31","Arhgap19","Ahnak2","Garin1b","Cacng7","Anp32e","Ahdc1"
"32","Arhgap22","Ahr","Gcat","Casp4","Ap1s1","Ahnak"
"33","Arhgap29","Akr1b10","Greb1","Ccl5","Ap1s3","Aipl1"
"34","Arhgdib","Akr1c14","Gsta3","Ccn5","Apcdd1","Ajm1"
"35","Arid5a","Aldh1a1","Havcr2","Ccrl2","Apex2","Ak1"
"36","Arl5a","Aldh1a7","Hbegf","Cd247","Apobr","Ak5"
"37","Arxes2","Aldh1b1","Hck","Cd274","Aqp8","Akap7"
"38","Asap2","Aldh3a1","Il1r1","Cd33","Arap3","Akap8l"
"39","Asf1b","Aldh3b1","Insig1","Cd34","Arc","Aldh1l1"
"40","Asns","Aldh6a1","Kcnh1","Cd47","Arhgap18","Aldh4a1"
"41","Aspm","Alpk1","Kcnk2","Cd74","Arhgap33","Amy1"
"42","Atad2","Angpt1","Klra1","Cda","Arhgap9","Ankrd28"
"43","Atad5","Ank","Lca5","Cdiptos","Arhgef39","Ankrd35"
"44","Atf7ip2","Aopep","Lgals1","Cebpb","Armcx6","Ankrd37"
"45","Atp2a3","Aox1","Map6","Ces1a","Atf4","Anks1b"
"46","Aunip","Aox4","Map9","Cfh","Atf6b","Ano3"
"47","Aurka","Apba1","Mdh1","Cldn2","Atic","Anpep"
"48","Aurkb","Aph1b","Mid1ip1","Cma2","Atp10a","Anxa1"
"49","Avil","Aph1c","Mmab","Cmpk2","Atp13a4","Anxa8"
"50","B3gnt3","Apod","Mmd","Cndp2","Aven","Ap3b2"
"51","B4galt5","Apoe","Mob3a","Col12a1","Awat2","Ap3m2"
"52","Bambi","Apol9a","Msln","Col1a2","Azin1","Apbb1"
"53","Bard1","Apol9b","Nebl","Creg1","Banf1","Apc2"
"54","Bcar1","App","Nipal1","Csf1","Bccip","Aqp11"
"55","Bcat1","Appl2","Nnt","Ctbs","Bean1","Ar"
"56","Birc5","Aqp3","Nr4a1","Ctns","Bend3","Arhgef15"
"57","Blm","Arhgap24","Nrp1","Ctsa","Bhlhe22","Arhgef18"
"58","Bora","Arhgap45","Oxct1","Ctsd","Bop1","Arhgef19"
"59","Brca1","Arhgap6","Pdgfd","Ctsh","Brca2","Arhgef25"
"60","Brip1","Arhgef33","Pdlim1","Ctsl","Bzw2","Arhgef9"
"61","Bub1","Arhgef6","Pfkfb4","Cxcl10","Cacna2d3","Arl4c"
"62","Bub1b","Arrdc2","Pkp1","Cyp4b1","Cacng8","Arl6ip5"
"63","Bysl","Arrdc3","Plagl1","Dab2","Cacybp","Armc2"
"64","Cad","Arsk","Plcl1","Dapk2","Calcrl","Artn"
"65","Calm1","Asap3","Pnma5","Dcn","Calr3","Asah2"
"66","Calr","Ass1","Prkar2a","Ddx3y","Car12","Atosb"
"67","Capns1","Atg14","Ptprb","Des","Card10","Atp13a3"
"68","Card14","Atg9b","Pwwp3b","Dhrs3","Casp8ap2","Atp1a3"
"69","Cbln1","Atl1","Rab30","Dhrs7","Ccdc18","Atp1b2"
"70","Cbx6","Atoh8","Rab32","Dhx40","Ccdc88c","Atp2a1"
"71","Ccbe1","Atosa","Rgs2","Dio2","Ccdc91","Atp2b4"
"72","Ccdc34","Atp6v1g2","Rimbp2","Dmxl2","Ccl17","Bach1"
"73","Ccdc86","Atp7a","Ripor2","Eda2r","Ccp110","Bbs2"
"74","Ccna2","Atraid","Sema3e","Efemp1","Cct3","Bbs9"
"75","Ccnb1","Axin2","Septin9","Efna1","Cct6a","Bcar3"
"76","Ccnb2","Azin2","Shh","Eif2ak2","Cct8","Bcl2"
"77","Ccnd1","B2m","Shmt1","Elapor2","Cd200","Bco2"
"78","Ccne1","B4galnt1","Slc25a10","Eln","Cd276","Bhlhe40"
"79","Ccne2","Bbs10","Slco5a1","Enpp4","Cdca4","Bicdl1"
"80","Ccnf","Bbs4","Smpd4","Esrrg","Cdca7","Bmp4"
"81","Ccnyl1","Bckdha","Snca","Eya4","Cdca7l","Borcs6"
"82","Ccsap","Bcl2l11","Sqle","Faah","Cdcp3","Btbd19"
"83","Cd300lb","Bcl6","Srebf2","Fabp4","Cdk2","Btbd2"
"84","Cdc20","Bdh2","Stk39","Fbxw20","Cdsn","Btbd3"
"85","Cdc25b","Bhlhe41","Syne3","Fchsd1","Cdv3","Btbd8"
"86","Cdc25c","Bicc1","Sytl5","Fgl2","Cenpx","C1qtnf1"
"87","Cdc42ep1","Bmf","Tpm4","Flot1","Cep126","C1qtnf2"
"88","Cdc45","Bnip3","Trib1","Ftl1","Cep128","C2cd4c"
"89","Cdc6","Bphl","Trim36","Fut2","Cep295","C8g"
"90","Cdc7","Brdt","Ube2n","Fzd8","Cep78","Cacna1a"
"91","Cdca2","Bst2","Usp17le","Gas6","Cep85","Cacnb1"
"92","Cdca3","Btbd17","Zscan4f","Gbp2b","Cfap298","Cacnb3"
"93","Cdca5","Btg2",NA,"Gbp5","Cgas","Camk1d"
"94","Cdca8","C1ra",NA,"Ghdc","Chac1","Camk2b"
"95","Cdh23","C1rb",NA,"Gla","Chchd4","Capn1"
"96","Cdh5","C1rl",NA,"Gpr137b","Chd5","Capn6"
"97","Cdh6","C1s1",NA,"Gpr19","Chpf","Car5b"
"98","Cdk1","C1s2",NA,"Gpr27","Chrdl1","Car7"
"99","Cdk6","C3",NA,"Gria4","Chrnb1","Carns1"
"100","Cdkn3","C4b",NA,"Grin2c","Chrnd","Caskin1"
"101","Cdr2","Cacna1h",NA,"Grn","Chsy1","Castor2"
"102","Cdt1","Cadm4",NA,"Gstm6","Ciapin1","Catsper2"
"103","Cemip","Calcoco1",NA,"Gstp1","Ciita","Catsperg1"
"104","Cenpa","Camk1g",NA,"Gstp3","Cit","Cbfa2t3"
"105","Cenpe","Camk2n1",NA,"Gvin1","Ckap5","Cbln3"
"106","Cenpf","Caprin2",NA,"H1f3","Cldn12","Cbx7"
"107","Cenph","Car11",NA,"H2bc23","Clns1a","Ccdc148"
"108","Cenpi","Carmil1",NA,"H2bc8","Clpb","Ccdc159"
"109","Cenpk","Carmil3",NA,"H3c15","Cmah","Ccdc24"
"110","Cenpl","Casp1",NA,"H4c12","Cmss1","Ccdc39"
"111","Cenpm","Casp12",NA,"H4c9","Cnbp","Ccdc65"
"112","Cenpn","Casq2",NA,"Helz2","Cnnm4","Ccdc80"
"113","Cenpp","Casr",NA,"Herc6","Cnot9","Ccdc87"
"114","Cenpq","Ccdc13",NA,"Hlf","Coq3","Ccl27a"
"115","Cenps","Ccdc17",NA,"Hmcn1","Coq7","Ccl7"
"116","Cenpu","Ccdc194",NA,"Ifi204","Coro1c","Ccn1"
"117","Cenpw","Ccdc3",NA,"Ifi207","Cox7a1","Ccn4"
