"","group","group_name","E4.full_1","E4.full_3","G8.full_1","G8.full_2","G8.full_3","G12.full_1","G12.full_2","G12.full_3","G1.full_2","G1.full_3","G5.full_1","G5.full_2","G5.full_3","E5.full_1","E5.full_2","E5.full_3","C.starve_1","C.starve_2","C.starve_3","C.full_1","C.full_2","C.full_3","CEv3.starve_1","CEv3.starve_2","CEv3.starve_3","CEv3.full_1","CEv3.full_2","CEv3.full_3","E4.starve_2","E4.starve_3","E5.starve_1","E5.starve_2","E5.starve_3","G1.starve_1","G1.starve_2","G1.starve_3","G5.starve_1","G5.starve_2","G5.starve_3","G8.starve_1","G8.starve_2","G8.starve_3","G12.starve_1","G12.starve_2","G12.starve_3"
"Ttn",1,NA,25.4039124890761,25.5183197022247,26.1559794332507,26.3514451326157,25.2955406855842,24.5731732013078,23.6854218464691,25.9935116451948,28.0330857970172,23.3622013104216,25.9358589624001,24.4802095484137,25.8782895936756,25.681834558821,25.3444467628214,27.2138396922014,24.2965340466382,25.8618710876591,24.9950677097556,24.3261824943128,26.1487552483988,24.6910978322819,26.0897042131821,24.8596895403916,23.8194573602468,25.7976513312852,25.8665556950736,21.0446828251996,24.8955472856924,24.5450090095765,24.9165541640453,25.3864304956221,25.0975677698594,25.1153173253247,24.0771586257227,25.2010858110953,24.6274457313238,24.6421242788357,23.7332314249314,23.885687120962,24.3307353119748,25.4346052628972,25.7477294252662,25.0019169935801,25.130879090147
"Ephb6",1,NA,24.3846124199245,24.0583739294608,26.1759173648301,21.603749620885,15.350960248958,22.8575365152268,26.1367754490461,22.7382334091678,25.8368197005628,25.3403747217916,23.4631619852726,25.7761415180871,23.8626440550374,25.2460868526552,25.9657148037666,26.0992128015091,25.9468079231178,26.3043330023348,25.451360126623,23.3343019888195,23.5731723683833,26.0410868197022,24.2033908411795,25.1792345355906,24.2108929283455,23.2957186411494,24.5307304579038,25.5154723525343,24.2870978979156,24.0314747293413,24.4260307670455,24.5029829327994,24.4909842182924,24.4075775073641,25.0144664462659,24.1498663313551,25.0853344354735,24.6044570857528,24.289615895988,25.275922231557,24.9199386075216,25.0880739673853,25.130567713302,24.5074458672877,24.8722009708494
"Map3k4",1,NA,23.2001372287966,23.0930720043437,24.5519422589632,25.6562885124434,24.7262506557239,22.9976927427083,24.9721789847105,23.1599603202537,24.649361836063,25.3870607613404,22.8612075964526,25.2341163782387,23.9482094537692,26.7498911593002,25.3722845162068,25.6930358549727,23.8928588958071,25.2480368600086,25.7861937246024,24.7225589323659,24.8631759253895,24.8086879160096,26.7146766904105,25.1252209685024,23.7149878815892,24.3998980767161,25.3320267965015,25.3630198913732,26.1095119487728,26.7552459654709,26.9146405273255,26.7673775960429,26.2944452242455,26.0471500086882,25.6963368417818,24.9809853135402,24.6737969341241,25.6179834778594,25.3193031791601,25.6377460605137,25.7003627658054,25.2446219846784,24.9841904563232,26.0839113502079,25.343925990039
"Bub1",1,NA,16.2433699584701,15.9533563493823,15.6774418561324,15.9250138999237,16.475369738914,15.6672037667689,15.4676573118098,16.4899068959828,18.1033589890183,18.731021813181,15.3071273687203,17.6257735235424,16.1843468057901,14.9928977239537,16.0470001612852,14.0504472161904,16.7196796516129,16.9083760473271,15.3814337188824,14.2643804428167,17.5099317199762,17.6486851422176,14.7450007459799,14.050334398505,14.5249113809521,15.3336777051588,19.2996206054386,15.3295072685267,15.245762532793,15.7009060127098,14.3808835031694,14.4770719626599,15.0628472116905,16.0415747527733,16.3522244016099,17.191471348818,16.6817199102227,13.8867204651103,16.3348591381069,15.3183704228359,16.4425168542346,15.9078063200418,15.69357965742,14.3722577103987,15.4596936682949
"Map2k3",1,NA,23.7055027164475,23.8069361714879,23.9457680033809,23.5218945252281,26.4561458629426,23.3982564322276,23.6279768993877,23.165669517817,23.9377648504742,23.6105673656312,22.1280647680871,24.0877495317663,23.7606766602676,23.0944836460719,24.335326941831,23.6231586798356,23.4937960773603,24.0468055408402,23.5824736378795,22.8161386760978,23.6690239172085,21.8587976945963,23.4107315150494,23.1589370763301,24.6635734840587,24.3424716564005,24.4700182365639,22.8604246664301,25.6938158999953,25.9416353777399,26.1550252977891,26.1647878484226,25.6458058075016,25.5023140785613,25.6242010851524,24.4977178401504,25.7583580370614,26.1902535142665,25.7745251992047,25.9390909111325,26.0995482494554,25.5402115328279,25.1060251080179,25.7922380987409,26.2444956729473
"Map3k5",1,NA,16.4068285195379,16.6360477952826,16.0060703149841,16.1759756979729,17.7338254901215,20.5420415472131,16.0601005095923,23.0555564862313,17.3205331371698,18.1597907601424,17.0848565036022,15.8796846738218,14.4197150409701,14.7653944600859,16.1863027674985,19.1547143379465,21.0600817183273,20.1970700867267,19.0735682237368,14.6434374803229,16.8761899544173,14.6303912531436,15.7777489903786,16.4490649291553,14.652867002073,15.8603973350035,15.2432126593828,15.7987374975854,14.6602156138602,14.7430192175308,15.7124431537304,15.4072664202029,21.7199330918796,14.1515553384328,16.7636855761169,16.2398137141532,16.7117221667286,22.5573441437865,22.5083622923694,22.1973411333846,21.2557814801041,21.3866599847522,21.8906086316512,20.9164083755298,24.6435879955038
"Chek1",1,NA,23.985671358265,25.610518500252,25.0741997934214,25.0463552971054,24.4258279892701,26.8010631961757,26.896240490568,26.1440548902573,26.0758048170432,25.9837236886815,23.4144299291974,25.3817628406014,22.5705509633875,24.6918774930669,26.5568856030908,26.5498409482025,25.2742206793836,23.9967782623319,24.4088481350664,25.9949711137937,24.5581146034702,22.4700503567876,25.1643976002676,25.1577608463169,25.6022496177623,24.9243385168291,26.8301111031569,25.8943641007157,24.2877585590083,23.6370440658907,24.3928705581415,23.8753466136137,24.7146198471606,23.3890003632327,22.7583366826795,22.3874239755839,21.9786657377976,20.3228349515545,21.1836302759888,23.5724031204839,23.9134160226036,23.0689203521146,23.9438978884435,23.2409054263379,23.9505400361355
"Clk2",1,NA,23.0028794264514,23.8526730047916,26.2439522340069,26.0609580373136,22.447298924647,25.4046254564611,26.6749885529809,24.1260212430096,25.9808928984516,24.5301769261701,23.9193514730133,26.8026165294903,23.1659000823404,24.9548891660478,26.1467836101123,26.4277188513656,24.4706393399582,26.120336511289,26.2361631087045,27.358837669703,26.5172287698143,24.2037534679242,24.5024064659326,24.9554526710238,24.2871050508303,25.1361735132803,26.9193372273488,25.5720386001149,23.565158067338,23.2453094527407,23.4675574781597,23.7648402143846,23.4375491180082,23.9095722766839,23.3512254099139,23.2717869045289,23.3730435815861,23.9620599534291,23.9565905292368,23.7575686707978,23.6959703637364,23.8028159790585,24.2593205791085,23.7231257473846,23.8252682645821
"Clk3",1,NA,14.981800874291,22.2026964955182,16.2954336026126,17.6604552637119,23.3704252621959,23.4082227553766,22.9404193976156,20.7266697788505,21.5692206840487,22.2380927492539,15.055868615737,17.0305412013535,14.4995771975884,23.5296807553055,22.2668873975364,22.8779892737286,22.7975261699997,21.8589134574621,23.7288763763391,23.9295286777483,23.0860495399091,23.4120732945354,23.2236217025523,23.7063629886921,20.484105239014,22.2261363823627,23.0198637721778,23.1422545154669,22.0304366183598,21.8977294090942,21.2136953666487,22.1777538747234,21.3048454406866,22.0248100227711,22.2801316410706,16.9487511746761,21.8767700410763,23.043936062503,23.0764101867092,22.3923837732536,23.1612360687269,22.6825748429397,23.0433553579574,22.2299784494955,23.3130111374097
"Clk4",1,NA,23.1930596159377,23.4124668324855,16.1065650238256,17.2097524973378,15.8642239468011,24.6957648967996,14.8057758087239,24.180015408262,17.0245174436852,16.4384749710113,23.0388826038271,17.5993718740932,24.040352093843,21.5015852757146,15.632678526825,16.6960135726832,24.2500581044268,18.1734858635232,21.0368306747241,20.7556948645055,16.8069370723722,15.2960758131484,23.3178473616471,23.3082873944254,24.6858497775701,25.5098174190983,16.8067815325416,22.4479789851415,23.044041543102,21.8964089587679,22.5760165632253,22.5770176494501,23.2157093475274,22.6302726684036,20.8665730707177,16.1638993245635,22.0720251381408,15.633730224582,22.9965062414119,23.2669971190698,22.6340409705828,21.0023250811816,21.1123594824346,16.2024610826728,21.30045729126
