Prep,Run,Number,Sample,Cell Line,clid,Timepoint,serum,Harvest,Label_num,Tag,Exp_rep,TMT.Reporter,label,condition,replicate
Prep_01,TMT01,1,P0380,CE,702,0,starve,180817,126,R1,3,TMT01_R1,TMT01_R1,Afat.0.702.starve,3
Prep_01,TMT01,2,P0381,CE,702,4,starve,180817,127,R2,3,TMT01_R2,TMT01_R2,Afat.4.702.starve,3
Prep_01,TMT01,3,P0382,CE,702,24,starve,180818,128,R3,3,TMT01_R3,TMT01_R3,Afat.24.702.starve,3
Prep_01,TMT01,4,P0383,CE,702,48,starve,180819,129,R4,3,TMT01_R4,TMT01_R4,Afat.48.702.starve,3
Prep_01,TMT02,6,P0298,C,701,0,starve,180807,126,R1,3,TMT02_R1,TMT02_R1,Afat.0.701.starve,3
Prep_01,TMT02,7,P0299,C,701,4,starve,180807,127,R2,3,TMT02_R2,TMT02_R2,Afat.4.701.starve,3
Prep_01,TMT02,8,P0300,C,701,24,starve,180808,128,R3,3,TMT02_R3,TMT02_R3,Afat.24.701.starve,3
Prep_01,TMT02,9,P0301,C,701,48,starve,180809,129,R4,3,TMT02_R4,TMT02_R4,Afat.48.701.starve,3
Prep_01,TMT03,11,P0302,CP,700,0,starve,180807,126,R1,3,TMT03_R1,TMT03_R1,Afat.0.700.starve,3
Prep_01,TMT03,12,P0303,CP,700,4,starve,180807,127,R2,3,TMT03_R2,TMT03_R2,Afat.4.700.starve,3
Prep_01,TMT03,13,P0304,CP,700,24,starve,180808,128,R3,3,TMT03_R3,TMT03_R3,Afat.24.700.starve,3
Prep_01,TMT03,14,P0305,CP,700,48,starve,180809,129,R4,3,TMT03_R4,TMT03_R4,Afat.48.700.starve,3
Prep_02,TMT04,16,P0171,CEv3P,699,0,starve,180702,126,R1,3,TMT04_R1,TMT04_R1,Afat.0.699.starve,3
Prep_02,TMT04,17,P0172,CEv3P,699,4,starve,180702,127,R2,3,TMT04_R2,TMT04_R2,Afat.4.699.starve,3
Prep_02,TMT04,18,P0173,CEv3P,699,24,starve,180703,128,R3,3,TMT04_R3,TMT04_R3,Afat.24.699.starve,3
Prep_02,TMT04,19,P0174,CEv3P,699,48,starve,180704,129,R4,3,TMT04_R4,TMT04_R4,Afat.48.699.starve,3
Prep_02,TMT05,21,P0294,PC,692,0,starve,180807,126,R1,3,TMT05_R1,TMT05_R1,Afat.0.692.starve,3
Prep_03,TMT05,22,P0295,PC,692,4,starve,180807,127,R2,3,TMT05_R2,TMT05_R2,Afat.4.692.starve,3
Prep_03,TMT05,23,P0296,PC,692,24,starve,180808,128,R3,3,TMT05_R3,TMT05_R3,Afat.24.692.starve,3
Prep_02,TMT05,24,P0297,PC,692,48,starve,180809,129,R4,3,TMT05_R4,TMT05_R4,Afat.48.692.starve,3
Prep_02,TMT06,26,P0376,CE,702,0,starve,180817,126,R1,2,TMT06_R1,TMT06_R1,Afat.0.702.starve,2
Prep_02,TMT06,27,P0377,CE,702,4,starve,180817,127,R2,2,TMT06_R2,TMT06_R2,Afat.4.702.starve,2
Prep_02,TMT06,28,P0378,CE,702,24,starve,180818,128,R3,2,TMT06_R3,TMT06_R3,Afat.24.702.starve,2
Prep_02,TMT06,29,P0379,CE,702,48,starve,180819,129,R4,2,TMT06_R4,TMT06_R4,Afat.48.702.starve,2
Prep_02,TMT07,31,P0117,C,701,0,starve,180705,126,R1,2,TMT07_R1,TMT07_R1,Afat.0.701.starve,2
Prep_02,TMT07,32,P0118,C,701,4,starve,180705,127,R2,2,TMT07_R2,TMT07_R2,Afat.4.701.starve,2
Prep_02,TMT07,33,P0119,C,701,24,starve,180706,128,R3,2,TMT07_R3,TMT07_R3,Afat.24.701.starve,2
Prep_02,TMT07,34,P0120,C,701,48,starve,180708,129,R4,2,TMT07_R4,TMT07_R4,Afat.48.701.starve,2
Prep_03,TMT08,36,P0135,CP,700,0,starve,180705,126,R1,2,TMT08_R1,TMT08_R1,Afat.0.700.starve,2
Prep_03,TMT08,37,P0136,CP,700,4,starve,180705,127,R2,2,TMT08_R2,TMT08_R2,Afat.4.700.starve,2
Prep_03,TMT08,38,P0137,CP,700,24,starve,180706,128,R3,2,TMT08_R3,TMT08_R3,Afat.24.700.starve,2
Prep_03,TMT08,39,P0138,CP,700,48,starve,180707,129,R4,2,TMT08_R4,TMT08_R4,Afat.48.700.starve,2
Prep_03,TMT09,41,P0167,CEv3P,699,0,starve,180701,126,R1,2,TMT09_R1,TMT09_R1,Afat.0.699.starve,2
Prep_03,TMT09,42,P0168,CEv3P,699,4,starve,180701,127,R2,2,TMT09_R2,TMT09_R2,Afat.4.699.starve,2
Prep_03,TMT09,43,P0169,CEv3P,699,24,starve,180702,128,R3,2,TMT09_R3,TMT09_R3,Afat.24.699.starve,2
Prep_03,TMT09,44,P0170,CEv3P,699,48,starve,180703,129,R4,2,TMT09_R4,TMT09_R4,Afat.48.699.starve,2
Prep_03,TMT10,46,P0290,PC,692,0,starve,180806,126,R1,2,TMT10_R1,TMT10_R1,Afat.0.692.starve,2
Prep_03,TMT10,47,P0291,PC,692,4,starve,180806,127,R2,2,TMT10_R2,TMT10_R2,Afat.4.692.starve,2
Prep_03,TMT10,48,P0292,PC,692,24,starve,180807,128,R3,2,TMT10_R3,TMT10_R3,Afat.24.692.starve,2
Prep_03,TMT10,49,P0293,PC,692,48,starve,180808,129,R4,2,TMT10_R4,TMT10_R4,Afat.48.692.starve,2
Prep_03,TMT11,51,P0372,CE,702,0,starve,180817,126,R1,1,TMT11_R1,TMT11_R1,Afat.0.702.starve,1
Prep_03,TMT11,52,P0373,CE,702,4,starve,180817,127,R2,1,TMT11_R2,TMT11_R2,Afat.4.702.starve,1
Prep_03,TMT11,53,P0374,CE,702,24,starve,180818,128,R3,1,TMT11_R3,TMT11_R3,Afat.24.702.starve,1
Prep_03,TMT11,54,P0375,CE,702,48,starve,180819,129,R4,1,TMT11_R4,TMT11_R4,Afat.48.702.starve,1
Prep_04,TMT12,56,P0113,C,701,0,starve,180704,126,R1,1,TMT12_R1,TMT12_R1,Afat.0.701.starve,1
Prep_04,TMT12,57,P0114,C,701,4,starve,180704,127,R2,1,TMT12_R2,TMT12_R2,Afat.4.701.starve,1
Prep_04,TMT12,58,P0115,C,701,24,starve,180705,128,R3,1,TMT12_R3,TMT12_R3,Afat.24.701.starve,1
Prep_04,TMT12,59,P0116,C,701,48,starve,180706,129,R4,1,TMT12_R4,TMT12_R4,Afat.48.701.starve,1
Prep_04,TMT13,61,P0131,CP,700,0,starve,180704,126,R1,1,TMT13_R1,TMT13_R1,Afat.0.700.starve,1
Prep_04,TMT13,62,P0132,CP,700,4,starve,180704,127,R2,1,TMT13_R2,TMT13_R2,Afat.4.700.starve,1
Prep_04,TMT13,63,P0133,CP,700,24,starve,180705,128,R3,1,TMT13_R3,TMT13_R3,Afat.24.700.starve,1
Prep_04,TMT13,64,P0134,CP,700,48,starve,180706,129,R4,1,TMT13_R4,TMT13_R4,Afat.48.700.starve,1
Prep_04,TMT14,66,P0163,CEv3P,699,0,starve,180630,126,R1,1,TMT14_R1,TMT14_R1,Afat.0.699.starve,1
