Kinase Family	Numbered	Gene names	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6			Reporter Intensities					
AGC	176	Grk6	4691.2	5266.6	5448.1	5924.1	5610.4	1191.7			Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6
AGC	219	Prkaca	234400	195470	192730	149630	170360	57832			149236706.9	158169902.2	163320678.2	161338075.6	152860728.7	29965359.22
AGC	284	Prkce	22313	21153	25169	24756	16632	3175.6								
AGC	300	Rps6ka1	68481	68147	68980	62345	82071	20581								
AGC	301	Rps6ka3	620330	579210	509250	493020	598770	172430								
AGC	310	Prkca	194780	195940	247300	301130	153360	32003								
AGC	351	Akt1	1729.2	1910.9	1741.6	1324.7	1693.2	223.58								
AGC	454	Dmpk	9949	9725.1	10324	8631.3	18111	4518.5								
AGC	559	Prkcg	10824	10252	8156.4	6185.1	5987.9	912.81								
AGC	567	Prkacb	78729	72974	70329	73270	53339	14486								
AGC	583	Pkn1	430370	418320	475420	457000	373940	73074								
AGC	591	Rock1	108670	113610	124760	116160	102510	30526								
AGC	592	Rock2	436370	452570	485250	471100	340620	128020								
AGC	781	Akt2	36051	37061	37434	36470	24092	7742.9								
AGC	837	Prkci	16012	17568	17656	15658	16925	3387.2								
AGC	975	Stk38l	16355	17623	16304	15959	16952	3234.3								
AGC	981	Cdc42bpb	660930	656580	773680	714020	552760	111240								
AGC	1103	Rps6kb1	35331	34644	39525	36771	33495	9451.4								
AGC	1124	Pkn2	274730	289580	310880	297210	237040	42462								
AGC	1138	Lats1	46066	45859	48702	45136	67022	17171								
AGC	1142	Rps6ka5	10834	11921	13019	11796	10448	4454.5								
AGC	1328	Stk38	86254	88238	90920	83200	79106	21102								
AGC	1809	Pdpk1	50668	48794	56125	48620	45999	12924								
AGC	1810	Rps6ka4	265760	250270	203840	136440	214550	39764								
Atypical	159	Bckdk	22862	20623	24217	22107	14878	4354.5								
Atypical	386	Pik3ca	64087	63148	76049	74432	54960	10975								
Atypical	617	Prkdc	73957	75965	78748	76488	67892	10931								
Atypical	742	Adck4	143000	180100	171340	144200	90229	15818								
Atypical	806	Pik3c2a	1988.4	2734	2535.6	1831	3070.8	378.43								
Atypical	845	Trim28	150830	169650	192660	193760	151450	31462								
Atypical	849	Atm	59948	58898	61221	49740	48015	6027.6								
Atypical	1001	Adck5	7660.2	8121	10019	9412.3	7016.1	1556.1								
Atypical	1073	Smg1	366580	414410	426580	411180	337750	56461								
Atypical	1171	Pi4k2b	46919	51429	56302	49433	39692	8158.6								
Atypical	1232	Brd3;Brd4	7949.3	10422	9626.9	8372.9	8176	1721.3								
Atypical	1484	Riok2	179240	186920	205100	153330	184600	54156								
Atypical	1543	Adck1	21874	24491	26016	25730	13996	2435.2								
Atypical	1701	Atr	15637	17686	15212	14499	17074	3287.7								
Atypical	1709	Mtor	715000	761650	863950	864750	563890	88693								
CAMK	113	Chek1	0	0	0	0	0	0								
CAMK	148	Dapk3	9837.2	10006	10694	8941.3	10116	2526.6								
CAMK	157	Mapkapk5	61053	52888	41929	43104	48108	12748								
CAMK	186	Cask	3572.3	4101.6	4347	4279.2	3002.6	602.79								
CAMK	260	Camk2a	36280	40123	30454	26774	19898	4242.5								
CAMK	341	Camk2b	1635.2	2047.7	1832	2350.4	1436	0								
CAMK	654	Mark3	118660	119380	131290	127470	117850	33111								
CAMK	666	Mark2	362450	356170	387340	366810	304140	86574								
CAMK	748	Prkaa1	359540	354900	375260	358850	343970	80689								
CAMK	832	Melk	9519.7	9697.6	8359	6794.2	14646	2429.9								
CAMK	840	Prkd1	187850	194470	213070	216040	140140	31674								
CAMK	862	Nuak1	74703	72742	78030	63238	65755	17727								
CAMK	898	Sik3	103130	97906	98511	85429	86580	23037								
CAMK	920	Mylk	30703	24027	19281	16533	30781	6193.3								
CAMK	924	Camk2d	786890	828720	865490	823520	673680	191860								
CAMK	1101	Prkaa2	3884	3955.3	8100.5	3570.8	4799.4	661.87								
CAMK	1139	Prkd2	76873	77174	87446	78926	69259	13343								
CAMK	1182	Pask	5132.2	4753.7	4479.6	4008.2	4308.1	751.5								
CAMK	1185	Sik2	76675	75445	78540	71131	65841	16112								
CAMK	1227	Prkd3	70941	73898	72359	89431	57888	11152								
CAMK	1311	Mark1	10542	11045	11681	10674	9545.1	2583.4								
CAMK	1397	Camk2g	345340	344260	350060	309050	306500	85977								
CAMK	1604	Phkg2	10716	11222	11881	9024.2	7225.9	1448.3								
CAMK	1760	Stk11	4091	3825.4	3895.9	3725.6	3198.2	490.74								
CK1	1064	Csnk1a1	315410	305000	285960	252250	251970	66148								
CK1	1089	Vrk2	19117	16491	17145	14218	16208	3183.5								
CK1	1105	Csnk1g1	27785	28457	37895	38234	24397	5357.1								
