"","group","group_name","C_0_3","C_4_3","C_24_3","C_48_3","CEv3_0_3","CEv3_4_3","CEv3_24_3","CEv3_48_3","C_0_2","C_4_2","C_24_2","C_48_2","CEv3_0_2","CEv3_4_2","CEv3_24_2","CEv3_48_2","C_0_1","C_4_1","C_24_1","C_48_1","CEv3_0_1","CEv3_4_1","CEv3_24_1","CEv3_48_1","G12_0_3","G12_4_3","G12_24_3","G12_48_3","G8_0_3","G8_4_3","G8_24_3","G8_48_3","G5_0_3","G5_4_3","G5_24_3","G5_48_3","G1_0_3","G1_4_3","G1_24_3","G1_48_3","E5_0_3","E5_4_3","E5_24_3","E5_48_3","E4_0_3","E4_4_3","E4_24_3","E4_48_3","G12_0_2","G12_4_2","G12_24_2","G12_48_2","G8_0_2","G8_4_2","G8_24_2","G8_48_2","G5_0_2","G5_4_2","G5_24_2","G5_48_2","G1_0_2","G1_4_2","G1_24_2","G1_48_2","E5_0_2","E5_4_2","E5_24_2","E5_48_2","E4_0_2","E4_4_2","E4_24_2","E4_48_2","G12_0_1","G12_4_1","G12_24_1","G12_48_1","G8_0_1","G8_4_1","G8_24_1","G8_48_1","G5_0_1","G5_4_1","G5_24_1","G5_48_1","G1_0_1","G1_4_1","G1_24_1","G1_48_1","E5_0_1","E5_4_1","E5_24_1","E5_48_1","E4_0_1","E4_4_1","E4_24_1","E4_48_1"
"Ephb6",1,NA,15.4697741203213,15.6365812102586,15.4486166141365,15.537088237802,10.005509989447,9.99022127787367,9.4689788161161,9.77026978651429,15.2311201018328,15.141245167904,15.2117695631382,15.2351240440704,10.0025435675463,10.1397120706715,11.0508702224683,10.0145743078195,15.8456350533554,15.9855347746784,16.1054975271661,16.2507438212787,7.97155950661028,10.2440824378524,9.93811369596132,9.55509631636441,11.1806066148397,10.3071195700496,10.7664959066542,9.90013825652352,10.1620703438626,9.24569856392659,10.7663317191621,9.60416265972884,10.5379197616171,10.1474937243119,10.648465997429,9.62397727694685,11.6247923989314,9.19657100250526,9.86409175651879,8.66449228661851,9.82893043750921,9.06759619380881,10.8196538521326,9.48551216799486,10.1923622953137,8.78718845190164,11.1080101226824,9.00416211867289,10.0749449340184,10.3667944672686,10.9745833777331,9.34467371566835,10.4298164446843,9.3495060724005,11.3907884660312,11.3328933023665,9.74417582603045,9.62196297800599,9.58214173675107,10.2233316815143,10.5094948400195,9.11569931024191,10.4270750127655,10.161514717333,9.94954455362859,10.817908057281,10.4222252001494,11.4443157173084,10.6014987532835,11.2671729539555,11.1341354603765,11.3061108452145,9.36664629490982,10.5263301599685,10.5443877919536,9.87037234632251,10.9791584265286,10.6145323338119,10.8351912183252,11.0068252600778,9.17530705076089,10.4712584502321,8.3609937684389,9.79697592891885,10.2982560219807,9.70883537758156,9.79034104169464,10.9810608135635,10.8697963189047,10.287392642945,10.5539532877238,10.4385381569271,9.34078981721842,9.11796945559783,9.02136193707522,10.1450591917357
"Clk2",1,NA,12.9963985449334,13.2453380189423,12.9887649546505,12.7508054328432,15.070583416621,15.249954911362,15.0672586087722,15.4783318227771,15.109323734684,15.1155639064006,15.0357920179537,15.347201352311,14.346987832019,14.4953232420665,14.3650431067404,14.1071300114034,14.1810712464236,14.1269670569075,14.0199045304559,14.226822758952,13.2215548760186,13.1570241030565,13.5457873768867,13.590591414656,10.2139970480766,10.2077048270649,9.23354456811848,9.27840031625621,9.59155564601076,10.8830054829613,10.2604554675895,10.4334471078137,10.1794571839137,8.95751934277569,10.7703335526945,9.78243513657987,10.5636698027429,9.58206859053617,11.1834734100895,10.7817920483965,12.7089958594988,12.5780454029565,12.4779825766033,12.6214755547072,9.94632356679662,9.47444874758414,9.85554842815961,10.1443508112455,10.283451401736,9.86261809983369,9.25752229940195,8.67420694372908,10.8864342470272,10.4726349953201,10.2522392729445,9.53067242216558,10.2797365725029,8.74251804934269,10.3092950767985,9.87550575209699,10.1125356502087,10.0424533189463,9.83479248310961,9.05865496638305,11.2562266327115,9.88858418288401,10.6627571221111,10.1510976488085,10.6865001236868,10.3605642317725,9.86544181150255,9.21147702454427,7.64161470010541,10.411181051339,10.5359491058923,10.9274994128732,10.8161667172151,9.89458795836304,11.5449951212449,12.0841446511106,10.0268278763284,9.46185908104063,9.85360268526778,9.22194032348854,10.7377970995994,9.50016467094011,10.1552849861458,10.3321693154136,8.87279270626643,10.6652664271088,10.601559796083,9.17890895279093,10.5947147526597,10.0312614579277,9.51072949984191,10.4494311071954
"Cdk14",1,NA,16.568517990141,16.641684195985,16.7925012559828,16.8121886655327,14.6282105085747,14.6845854508203,14.8960519914829,14.7716740785699,16.1536396714792,16.2611376900967,16.5379555573987,16.4919191165119,15.0540166259798,15.0571418579676,15.4129384977319,15.6538770354569,16.0999249035861,16.1862850060135,16.4246445556074,16.4433476222747,15.3943091520346,15.3993755820646,15.9828337775432,16.0166720747967,15.6935788529264,15.6122304607705,15.7565333889567,15.7364353492955,15.9072397598228,15.6913253284545,15.9241093669189,15.9678355973571,15.8941163734239,15.8708353915268,16.0461331971227,16.0593079164261,16.2273067029543,16.2169493168273,16.2790165971724,16.2116309463919,15.749664175249,15.8947912930004,15.9823631986572,16.1669892447223,15.3663000869632,15.4892060086325,15.3574848959262,15.7071685249031,14.9012857217537,14.7634141438435,14.9521784784195,14.7930111542247,15.2866094288388,15.2012695369375,15.3035585370384,15.1712454951682,16.4895756970611,16.2807709018374,16.5480532308733,16.1890543861444,15.7104199801874,15.6666462724718,15.5812030998978,15.3094206396922,15.7001311444068,15.4855294892368,15.5459371821465,15.4287147958984,15.1160579969257,15.028296141131,14.8995682875062,15.05919773139,15.8686153267152,15.6931293324437,15.9497052291721,15.9561448636456,14.3506067365566,14.2457844824803,14.2543946803576,14.301707419346,15.7410181035946,15.9556073673728,15.6430414426175,15.8323128015089,15.6741126684837,15.6041897973495,15.647822678433,15.3979906618262,15.6721360189389,15.66420886998,15.7299805389729,15.6509946905241,15.2803618681263,15.2990779317637,15.3089752343957,15.1120679989937
"Bmpr2",1,NA,15.9558097233045,16.333472988905,15.9927022047146,16.0601169781599,16.3049257982125,16.5884465167757,16.579366654628,16.6476785980259,16.3615439949235,16.4423272792012,16.5487383833996,16.4580162113857,16.4726251430051,16.4923687862675,16.9075643103555,16.8715709377777,15.7567266307276,16.1947083648742,15.9890666415389,15.9849744463835,15.8942969317995,16.1071334877364,16.5335797285408,16.9999083394102,17.411426012346,17.5584405627986,17.637310369725,17.515379803602,17.2421622110986,17.1887426690827,17.4320401901466,17.4911332677014,16.5743439563636,16.6420221565373,16.8568381181164,16.7142909964961,16.9307634641885,16.8747670210915,16.9120156632127,16.7444976299637,16.0860791486035,16.1366637200701,16.2736783510934,16.2416130774113,16.860127845475,16.8752020728733,16.8163051674454,16.9033788552966,16.4719745925749,16.5733390854118,16.6927689714424,16.780694392148,15.1397049384761,15.2654740761371,15.2246106885843,15.3495685859762,16.2702941105627,16.3198194474388,16.4911863208937,16.3594209683838,16.5549246373006,16.7102653573746,16.6606934973009,16.7174534552636,16.7186492266483,16.7369065588982,16.7463271496868,16.7450071113433,16.5493716514401,16.6601210131647,16.5998661080587,16.468176254497,16.2096113557229,16.1412589866503,16.3196371401027,16.2965683620909,16.0979713489763,16.1955318568181,16.3390291715638,16.3296049184446,16.9548379017172,17.2589290972045,17.2214425094161,17.2538367928052,16.6598356028958,16.8035370619798,16.7720927482405,16.7768858850705,16.6380874287039,16.6200927644096,16.8765357411024,16.8341585798947,17.085993483503,17.0723550060252,17.2416692576829,17.2815804451318
"Srpk2",1,NA,15.5554908149763,15.5669373171336,15.5004095286514,15.4164074687774,16.0962199740571,16.0876743377444,16.2104601044465,16.1981016564691,15.3313524334922,15.2177437064604,15.3968499144572,15.4135175390971,15.6283479305374,15.5194039375937,15.7527260801597,15.6112732386761,15.1434434118258,15.0530882790304,15.0650853085925,14.9846985296612,15.5279487481283,15.6141842737507,15.6496951611291,15.5057080587634,14.473722813249,14.3516829264829,14.2910945986394,14.3589369648288,15.0157004922748,14.9698086878733,15.2478120199837,15.2619810337025,15.612205645835,15.4831890063609,15.7577373625505,15.4513686656035,15.4425728712006,15.412576417591,15.3668398212321,15.3645827719295,14.6466686873538,14.7477845060171,14.5549267281218,14.6092229706164,15.29933979544,15.3875050389264,15.176126256144,15.3018217143152,15.8549978768067,16.021979339735,16.2151308367698,16.0529804255357,15.0303179252579,15.0510638027054,14.9797736417315,15.0883513602593,14.7975427046708,14.8044142691385,14.9136460322834,14.8947892788944,15.4018876819629,15.368371789179,15.1609426449268,15.3447653617894,13.831362519523,13.6024393539031,13.691624207803,13.7401189008685,15.4129126766724,15.2046857376842,15.3217390039605,14.9304302579734,14.8626082159104,14.9927340623061,14.8364496384868,14.8490754623975,15.5292624592486,15.5404517595179,15.5412826202269,15.6226748103762,12.8965897541653,12.9557988753637,12.9674925860375,12.9014095844611,16.0695519787811,15.9928220183713,16.1402256281693,16.1494065779006,13.7852656682233,14.0550315257429,13.8823996126364,13.7170563958551,15.0406524698646,15.1296323787079,15.087835029528,15.1347067699842
"Dapk3",1,NA,14.7397289433003,15.1587237209302,14.6357940688669,14.6591661932267,15.4563188493983,14.904227572596,15.3153475888435,15.3331697368952,13.3261520019809,13.2579897491627,13.2588426607965,13.3430201442536,13.9666556013884,14.09561150067,14.0523598232939,14.0006962949214,13.5151908700794,13.511668002452,12.9206859529993,13.0935959041371,12.8378252003837,12.7801160921125,13.1767794513639,13.3884985477523,15.3011707772545,15.0347483305173,15.3141821840613,15.1060116030536,15.5146494151123,15.2139509908404,15.4478296560247,15.6283892919029,13.8588687130051,13.9418827537343,13.8891418603461,13.6379154473454,13.8255058066957,13.9543883464283,13.750034327881,13.8227468252514,14.7060517921051,14.9294281794102,14.9570101086288,14.8937626401465,12.7712914575648,12.4893585980569,12.7465760849435,12.702645231164,13.4170941557869,13.4216813327412,13.4674899339189,13.3314384629993,14.6183015927485,14.5528070732129,14.2735351576912,14.2994849546612,11.6299789937956,11.5818208040718,11.7774988651968,11.7021130593639,15.4716587621995,15.337651979431,15.2272626111819,15.2807208878117,14.7524643804278,14.553126350342,14.5429205451021,14.4475854018465,11.0679272774513,11.1617035962362,9.19353149183279,10.8357146089743,14.9567211858621,15.023554331182,14.9107889587628,14.9650771073877,14.9522136223471,14.7430011336798,14.6847779337054,14.8588953914896,12.6667164243864,12.5679582897999,12.2963990083275,12.7267201101891,14.5453119817131,14.5862568504688,14.59867924612,14.4569216532663,14.9179852594589,15.0195264781573,14.913076097905,14.6199363123489,14.4635542132159,14.4570582741983,14.4491189954081,14.3384238664773
"Limk2",1,NA,16.3323906681293,16.4237485184593,16.1818104892236,16.236988642501,15.8223288929658,15.3204362095107,15.2505686297125,15.1038883384796,16.2765880288485,16.3938065863896,16.1976778469417,16.3136391450658,15.5693706173035,15.2236259819848,15.3511897361378,15.1618352997147,15.1874751275944,14.9857689626357,14.6749225567835,14.8030250317829,14.9871799704956,14.3627316152714,14.4963262935699,14.652613732978,14.2785564488669,14.2201087039881,13.9056715900622,13.9196851482351,10.2147223649587,10.6702397494962,10.4327098465723,9.71222786373509,14.8174304500647,14.9895321883136,15.1218897954406,14.7912292613936,13.943887715144,13.8520083129301,13.7214364345434,13.5489068561499,12.6506812337425,12.6361707770976,12.5835437376264,12.3638789132642,15.2963787798283,15.0936206445212,14.8711371573614,15.0195773377534,12.0864687974854,11.6883418152181,11.5339396016732,11.4736967757222,13.0795620471615,13.0858446283286,12.6106739919502,12.2358182826974,14.0068073827542,14.0183948278655,13.6783714929628,13.8645245375399,15.5557701527873,15.439227840947,15.347612616341,15.1939965751355,15.0554483478198,15.0984647338035,14.977926231572,14.8955109092116,14.4882263958676,14.4890973382789,14.5285839246722,14.0369605315593,13.9197727464068,13.7180222045694,13.8151679971376,13.7983221524656,12.7985932948375,12.4508101412107,12.6754722995164,12.4262084327237,13.5630483646927,13.0962790858763,13.1732412759788,13.2048082656312,10.1701318578775,10.1035868068907,10.5567658076132,10.4706063438487,15.0886866330127,14.9587873844844,15.1879797219681,14.9843265639829,15.6248498956283,15.628120379281,15.4172468929557,15.3417960714381
"Chka",1,NA,16.5243664062133,16.619489101641,16.4749031506228,16.3799551108636,16.8222167948765,16.5702307070215,16.2864225530379,16.1168841144593,16.2924325366645,16.2440410068678,16.2462274377521,16.3595381307155,17.570674388053,17.6191408365191,16.7922803188954,16.9042695776375,15.6722971729244,15.6713188106072,15.6493511242185,15.6800226555531,17.5545050403822,17.459472463798,16.6788880670985,16.7957916850734,16.4445156882174,16.4594576458917,16.6179272913634,16.6049092873006,15.8857333005971,16.0465019674235,16.0206310181556,16.2872509112553,14.5498699763952,14.5840424951981,14.7291095234735,14.6014509348569,15.8398804747417,15.9719745449563,15.9853255744497,16.4494349808617,14.7548352143344,14.3990561635062,14.5680466776501,14.5955563572429,15.3441603237854,15.0741430751023,15.1276438706606,15.2771918574799,15.9635208145738,15.9976493192252,15.9529229943346,15.8383042739203,16.2920691488932,16.2264518547809,16.1157353328229,16.39931090583,14.1020580642129,14.1327858919814,14.2827244343138,14.6170913196889,16.0575332039145,16.005204350909,16.0217545441825,16.2805682625285,16.3031983015527,16.449604291328,16.4532248178621,16.5134351752415,16.1084664327149,16.1146839475824,16.2265564388134,16.1785510556466,16.300075431794,16.478833837894,16.559833354737,16.6166677368499,15.2814757845723,15.3099859053964,15.4590321024151,15.4202088872291,14.453230477236,14.1883653400383,14.7335500300224,14.1628621818007,15.4091805180005,15.3726324733916,15.5317564245725,15.7286625121432,15.7663876193426,15.6102984332122,15.56322365745,15.8374164099302,15.2945489642976,15.4512643444392,15.2193499965688,15.3073020435866
"Csnk2a2",1,NA,17.7219897382913,17.8316429237751,17.6473950514427,17.7885848621807,18.1835410148563,18.1011969724859,18.4833526560025,18.8749427167223,18.0026835983834,17.9933110509598,17.8764749206526,18.0360349486524,17.1230504773353,17.4521616106608,17.3025883269952,17.9076427843909,18.0016810729922,18.0432865434489,17.7696657665894,17.9822836356812,17.7122276669621,17.7987474563441,18.2087696510567,18.1183144465316,17.7488824586639,17.7457149693769,17.706199845335,17.7550114165771,17.462330647908,17.5329337278502,17.6202164339068,17.5636285595905,17.5616265447912,17.6521705545495,17.4421608796214,17.5913951611773,17.3167493097839,17.4861872162857,17.5330157498877,17.7389063018887,17.3955144749627,17.3756388250391,17.4495366012511,17.508336915969,17.9614241316042,18.1792490589848,18.2127210703773,18.0646481714577,17.626752771962,17.5823091895149,17.4074570879044,17.4035050156774,17.5281188473831,17.5924656558408,17.7315079317216,17.7496656063895,18.0679382051954,17.919286615787,17.8832714942996,17.8242462840417,18.2399934850683,18.2808866497727,18.4648940333594,18.4053605451681,17.5920486203266,18.2829382250136,18.2710440560754,17.9974562852165,17.5367644667512,17.7597637851019,17.9547399085756,18.1293542913976,18.2142211222962,18.3515980645443,18.0077098693366,18.1572561115735,18.0646156397676,18.0569849081407,18.2458531107387,18.1119997922955,18.0979832327616,17.809001818616,17.9227850970921,17.7986658973364,18.0201752488992,17.881539971837,18.0105410431495,18.1205817501206,18.1054463587378,18.0090802143765,18.1612757507796,18.091151327277,17.667368586821,17.5884029037708,17.4066132542442,17.60917319817
"Tnk2",1,NA,13.5184341200563,13.5333455548727,13.6140998442591,13.7671622063574,15.1288437125759,14.9676122701357,15.2135665537104,15.4277375212495,15.7502331379273,15.7631836246801,15.811042112584,15.9041368099453,13.7920706403989,14.188194746378,14.2700091473559,14.1075873050832,15.910075100023,15.9128054262151,15.7680848896804,15.8657152375444,8.25139376449859,10.3764412538025,9.66268305714613,9.41006379313489,10.3174147827221,10.6945235753028,10.440995536835,10.0291994219179,11.2772454667645,10.0613277862159,10.4576946735298,11.1907507767813,11.4197539008271,11.6185390121695,11.445872450035,11.4328594851936,12.8674047468964,12.6026877519624,12.6067413522714,12.3680422846082,13.6046183052027,13.4114321944779,13.6354056769094,13.4772914688241,9.20974279811849,8.73662587083462,10.0151129495438,10.2634900407672,9.9189745046234,10.2858882018032,10.5893749920179,10.0567251538474,12.7275608666682,13.3268986190975,12.6751569133695,13.1361382553456,13.7502981743522,13.6231638279846,13.5587149681657,13.7062580829413,11.7448850471946,10.0887143478344,9.2337251522493,10.4960890950914,10.7397585420928,10.7540997778746,10.4821240189611,10.2271926418581,11.1240522242803,11.1612972878362,11.4561722940325,11.3618935154448,12.5943938277592,12.5498244358005,11.7327185684783,12.0655986192301,13.1065703033162,13.135892762268,13.0404969514202,12.9093776550898,14.3336582410172,14.0626733464372,13.7871256913086,14.1128305121363,14.1135051128933,13.9604069867616,13.7592335641993,13.7767533718542,11.0412684852845,12.0031142498465,10.3587248646726,9.81693840445979,9.74076522711605,9.6372649523975,9.8550591818079,10.0992031528539
