Column1,project,sf_file,sf_id,crm_run_id,lib_id,lib_type,sample_id,sample_type,time_h,sample_name,preservation,samp_replicate,expt_id,expt_type,serum,drug,drug_conc_uM,exp_replicate,cell_line,cell_line_abbr,cl_order
SL0012,mAc_FF,SL0012.sf,SL0012,1,L0012,RNA,S0012,cell_line,0,CEv3_PC3,snap_frozen,3,12,baseline,full,NA,NA,3,CEv3_PC,CEv3,4
SL0010,mAc_FF,SL0010.sf,SL0010,1,L0010,RNA,S0010,cell_line,0,CEv3_PC1,snap_frozen,1,2,baseline,full,NA,NA,1,CEv3_PC,CEv3,4
SL0003,mAc_FF,SL0003.sf,SL0003,1,L0003,RNA,S0003,cell_line,0,C_MAP3,snap_frozen,3,14,baseline,full,NA,NA,3,C_MAP,C,1
SL0002,mAc_FF,SL0002.sf,SL0002,1,L0002,RNA,S0002,cell_line,0,C_MAP2,snap_frozen,2,9,baseline,full,NA,NA,2,C_MAP,C,1
SL0001,mAc_FF,SL0001.sf,SL0001,1,L0001,RNA,S0001,cell_line,0,C_MAP1,snap_frozen,1,4,baseline,full,NA,NA,1,C_MAP,C,1
SL0011,mAc_FF,SL0011.sf,SL0011,1,L0011,RNA,S0011,cell_line,0,CEv3_PC2,snap_frozen,2,7,baseline,full,NA,NA,2,CEv3_PC,CEv3,4
SL0044,mAc_FF,SL0044.sf,SL0044,4,L0044,RNA,S0044,cell_line,0,CEv3_E49_19_17,snap_frozen,2,36,baseline,full,NA,NA,2,CEv3_E4,E4,10
SL0045,mAc_FF,SL0045.sf,SL0045,4,L0045,RNA,S0045,cell_line,0,CEv3_E49_25_17,snap_frozen,3,37,baseline,full,NA,NA,3,CEv3_E4,E4,10
SL0043,mAc_FF,SL0043.sf,SL0043,4,L0043,RNA,S0043,cell_line,0,CEv3_E49_13_17,snap_frozen,1,31,baseline,full,NA,NA,1,CEv3_E4,E4,10
SL0054,mAc_FF,SL0054.sf,SL0054,5,L0054,RNA,S0054,cell_line,0,CEv3_G126_30_17,snap_frozen,3,28,baseline,full,NA,NA,3,CEv3_G12,G12,9
SL0057,mAc_FF,SL0057.sf,SL0057,5,L0057,RNA,S0057,cell_line,0,CEv3_G16_30_17,snap_frozen,3,29,baseline,full,NA,NA,3,CEv3_G1,G1,6
SL0055,mAc_FF,SL0055.sf,SL0055,5,L0055,RNA,S0055,cell_line,0,CEv3_G16_21_17,snap_frozen,1,19,baseline,full,NA,NA,1,CEv3_G1,G1,6
SL0053,mAc_FF,SL0053.sf,SL0053,5,L0053,RNA,S0053,cell_line,0,CEv3_G126_23_17,snap_frozen,2,23,baseline,full,NA,NA,2,CEv3_G12,G12,9
SL0052,mAc_FF,SL0052.sf,SL0052,5,L0052,RNA,S0052,cell_line,0,CEv3_G126_20_17,snap_frozen,1,18,baseline,full,NA,NA,1,CEv3_G12,G12,9
SL0051,mAc_FF,SL0051.sf,SL0051,5,L0051,RNA,S0051,cell_line,0,CEv3_G89_25_17,snap_frozen,3,38,baseline,full,NA,NA,3,CEv3_G8,G8,8
SL0050,mAc_FF,SL0050.sf,SL0050,5,L0050,RNA,S0050,cell_line,0,CEv3_G89_18_17,snap_frozen,2,34,baseline,full,NA,NA,2,CEv3_G8,G8,8
SL0049,mAc_FF,SL0049.sf,SL0049,5,L0049,RNA,S0049,cell_line,0,CEv3_G89_13_17,snap_frozen,1,32,baseline,full,NA,NA,1,CEv3_G8,G8,8
SL0056,mAc_FF,SL0056.sf,SL0056,5,L0056,RNA,S0056,cell_line,0,CEv3_G16_24_17,snap_frozen,2,25,baseline,full,NA,NA,2,CEv3_G1,G1,6
SL0391,mAc_FF,SL0391.sf,SL0391,9,L0391,RNA,S0158,cell_line,0,X2018_Summer_053,snap_frozen,2,111,baseline,full,NA,NA,2,CEv3_PC,CEv3,4
SL0390,mAc_FF,SL0390.sf,SL0390,9,L0390,RNA,S0157,cell_line,0,X2018_Summer_052,snap_frozen,1,105,baseline,full,NA,NA,1,CEv3_PC,CEv3,4
SL0104,mAc_FF,SL0104.sf,SL0104,9,L0104,RNA,S0104,cell_line,0,CEv3_E59_18_17,snap_frozen,2,35,baseline,full,NA,NA,2,CEv3_E5,E5,11
SL0103,mAc_FF,SL0103.sf,SL0103,9,L0103,RNA,S0103,cell_line,0,CEv3_E5913_17,snap_frozen,1,33,baseline,full,NA,NA,1,CEv3_E5,E5,11
SL0101,mAc_FF,SL0101.sf,SL0101,9,L0101,RNA,S0101,cell_line,0,CEv3_G510_9_17,snap_frozen,2,41,baseline,full,NA,NA,2,CEv3_G5,G5,7
SL0100,mAc_FF,SL0100.sf,SL0100,9,L0100,RNA,S0100,cell_line,0,CEv3_G59_26_17,snap_frozen,1,40,baseline,full,NA,NA,1,CEv3_G5,G5,7
SL0102,mAc_FF,SL0102.sf,SL0102,9,L0102,RNA,S0102,cell_line,0,CEv3_G510_10_17,snap_frozen,3,42,baseline,full,NA,NA,3,CEv3_G5,G5,7
SL0392,mAc_FF,SL0392.sf,SL0392,9,L0392,RNA,S0159,cell_line,0,X2018_Summer_054,snap_frozen,3,115,baseline,full,NA,NA,3,CEv3_PC,CEv3,4
SL0105,mAc_FF,SL0105.sf,SL0105,9,L0105,RNA,S0105,cell_line,0,CEv3_E59_25_17,snap_frozen,3,39,baseline,full,NA,NA,3,CEv3_E5,E5,11
SL0158,mAc_FF,SL0158.sf,SL0158,10,L0158,RNA,S0158,cell_line,0,X2018_Summer_053,snap_frozen,2,111,baseline,full,NA,NA,2,CEv3_PC,CEv3,4
