Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2A5R2	A2A5R2	4	4	4	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus GN=Arfgef2 PE=1 SV=1	1	4	4	4	4	4	4	2.4	2.4	2.4	202.24	1792	1792	0	25.162	7080.2	7908.1	8533.7	5689.4	8531.1	2705.4	6826	7777.3	8608.3	6026	8357.8	2781.1	3	3	3	3	3	3	7080.2	7908.1	8533.7	5689.4	8531.1	2705.4	6826	7777.3	8608.3	6026	8357.8	2781.1	3	3	3	3	3	3	2.4	7285400	7285400	4				0	233;1060;3189;3924	True;True;True;True	246;1116;3336;4105	329;1478;4576;5659	468;1998;6358;7837	468;1998;6358;7837		
Q6PDQ2;A2A8L1	Q6PDQ2;A2A8L1	2;2	2;2	2;2	Chromodomain-helicase-DNA-binding protein 4;Chromodomain-helicase-DNA-binding protein 5	Chd4;Chd5	sp|Q6PDQ2|CHD4_MOUSE Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1;sp|A2A8L1|CHD5_MOUSE Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus GN=Chd5 PE=1 SV=1	2	2	2	2	2	2	2	1	1	1	217.75	1915	1915;1946	0	11.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2				1	2009;2434	True;True	2107;2550	2851;3470	3870;4755	3870;4755		
A2AAY5;O89032	A2AAY5	4;1	4;1	4;1	SH3 and PX domain-containing protein 2B	Sh3pxd2b	sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus GN=Sh3pxd2b PE=1 SV=1	2	4	4	4	4	4	4	5	5	5	101.52	908	908;1124	0	25.327	26791	26810	26277	34421	26484	8459.9	25769	26500	26925	34537	26597	8691.3	5	5	5	5	5	5	26791	26810	26277	34421	26484	8459.9	25769	26500	26925	34537	26597	8691.3	5	5	5	5	5	5	5	15434000	15434000	5				2	2690;3635;4403;5042	True;True;True;True	2816;3799;4600;5266	3864;5199;6331;7296	5342;7203;8742;8743;10089	5342;7203;8743;10089		
A2ADA5	A2ADA5	1	1	1	tRNA pseudouridine synthase-like 1	Pusl1	sp|A2ADA5|PUSL1_MOUSE tRNA pseudouridine synthase-like 1 OS=Mus musculus GN=Pusl1 PE=1 SV=1	1	1	1	1	1	1	1	4.5	4.5	4.5	31.992	291	291	0.0025751	6.5102	468.47	628.35	867.49	801.79	1988.3	186.19	453.69	614.51	869.22	854.29	1914.2	229.77	1	1	1	1	1	1	468.47	628.35	867.49	801.79	1988.3	186.19	453.69	614.51	869.22	854.29	1914.2	229.77	1	1	1	1	1	1	4.5	861870	861870	1				3	784	True	824	1114	1534	1534		
A2AGT5	A2AGT5	2	2	2	Cytoskeleton-associated protein 5	Ckap5	sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=1 SV=1	1	2	2	2	2	2	2	1.3	1.3	1.3	225.63	2032	2032	0	12.45	2331.3	1566.4	1310.2	1458.3	2259.6	347.73	2227.6	1590	1353	1503.8	2200.7	368.72	2	2	2	2	2	1	2331.3	1566.4	1310.2	1458.3	2259.6	347.73	2227.6	1590	1353	1503.8	2200.7	368.72	2	2	2	2	2	1	1.3	2039400	2039400	2				4	862;4200	True;True	908;4395	1209;6049	1648;8350	1648;8350		
A2AJA9	A2AJA9	1	1	1	Uncharacterized protein C9orf172 homolog	Gm996	sp|A2AJA9|CI172_MOUSE Uncharacterized protein C9orf172 homolog OS=Mus musculus GN=Gm996 PE=1 SV=1	1	1	1	1	1	1	1	0.7	0.7	0.7	107.18	974	974	0.0088	6.0424	9787.2	9133.9	7334.9	4738.2	12584	13889	9401.1	9049.2	7541.4	5201.4	12485	13423	1	1	1	1	1	1	9787.2	9133.9	7334.9	4738.2	12584	13889	9401.1	9049.2	7541.4	5201.4	12485	13423	1	1	1	1	1	1	0.7	179290000	179290000	1				5	247	True	260	349	503	503		
A2AJI0	A2AJI0	4	4	4	MAP7 domain-containing protein 1	Map7d1	sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1	1	4	4	4	4	4	4	5.4	5.4	5.4	93.275	846	846	0	24.164	9875.3	9551.8	8395.3	9817.5	8710.1	3141.2	9492.2	9450.1	8642.9	9926.9	8699.9	3196.4	3	3	3	3	3	3	9875.3	9551.8	8395.3	9817.5	8710.1	3141.2	9492.2	9450.1	8642.9	9926.9	8699.9	3196.4	3	3	3	3	3	3	5.4	9396100	9396100	4				6	567;3084;4918;6987	True;True;True;True	601;3224;5138;7319	826;4420;7111;10149	1151;6129;9823;13957	1151;6129;9823;13957		
A2AN08	A2AN08	7	7	7	E3 ubiquitin-protein ligase UBR4	Ubr4	sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1	1	7	7	7	7	7	7	1.5	1.5	1.5	572.28	5180	5180	0	44.725	35166	36574	37199	33905	41265	13720	33852	36085	37800	34988	40693	14049	7	7	7	7	7	7	35166	36574	37199	33905	41265	13720	33852	36085	37800	34988	40693	14049	7	7	7	7	7	7	1.5	18418000	18418000	8				7	604;1101;1216;1872;2249;3638;4629	True;True;True;True;True;True;True	639;1158;1282;1961;2351;3802;4840	876;1531;1716;2647;3162;5204;6693	1215;2068;2311;2312;3564;4282;7210;9243	1215;2068;2311;3564;4282;7210;9243		
A2APV2;Q6ZPF4	A2APV2	3;1	3;1	3;1	Formin-like protein 2	Fmnl2	sp|A2APV2|FMNL2_MOUSE Formin-like protein 2 OS=Mus musculus GN=Fmnl2 PE=1 SV=2	2	3	3	3	3	3	3	3.3	3.3	3.3	123.1	1086	1086;1028	0	18.849	10808	10025	12360	10249	13921	3270.6	10381	9980.9	12416	10668	13641	3434.2	4	4	4	4	4	3	10808	10025	12360	10249	13921	3270.6	10381	9980.9	12416	10668	13641	3434.2	4	4	4	4	4	3	3.3	9535600	9535600	4				8	2476;4600;7452	True;True;True	2593;4810;7805	3530;6655;10818;10819	4850;9189;14870;14871	4850;9189;14870		
A2BDX3	A2BDX3	2	2	2	Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase	Mocs3	sp|A2BDX3|MOCS3_MOUSE Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus GN=Mocs3 PE=1 SV=1	1	2	2	2	2	2	2	3.5	3.5	3.5	49.374	460	460	0	11.76	9960.8	11868	8124.5	6061.2	5442.7	1891.2	9617.6	11585	8463.1	6271.7	5431.3	1929.8	1	1	1	1	1	1	9960.8	11868	8124.5	6061.2	5442.7	1891.2	9617.6	11585	8463.1	6271.7	5431.3	1929.8	1	1	1	1	1	1	3.5	58849000	58849000	2				9	4609;8001	True;True	4819;8380	6665;11660	9203;16051	9203;16051		
