gene,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Aak1,A0A0N4SVA1,A0A0N4SVA1_MOUSE,unreviewed,AP2-associated protein kinase 1 (Fragment),Aak1,Mus musculus (Mouse),121
Aak1,A0A571BDM4,A0A571BDM4_MOUSE,unreviewed,AP2-associated protein kinase 1 (Fragment),Aak1,Mus musculus (Mouse),237
Aak1,A0A571BEI2,A0A571BEI2_MOUSE,unreviewed,AP2-associated protein kinase 1 (Fragment),Aak1,Mus musculus (Mouse),510
Aak1,Q3UHJ0,AAK1_MOUSE,reviewed,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),Aak1 Kiaa1048,Mus musculus (Mouse),959
Aatk,B1AZF3,B1AZF3_MOUSE,unreviewed,Serine/threonine-protein kinase LMTK1,Aatk,Mus musculus (Mouse),1374
Aatk,B1AZF9,B1AZF9_MOUSE,unreviewed,Serine/threonine-protein kinase LMTK1,Aatk,Mus musculus (Mouse),1317
Aatk,Q80YE4,LMTK1_MOUSE,reviewed,Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (Lemur tyrosine kinase 1),Aatk Aatyk Kiaa0641 Lmr1 Lmtk1,Mus musculus (Mouse),1365
Abl1,A0A0A6YVY6,A0A0A6YVY6_MOUSE,unreviewed,Tyrosine-protein kinase ABL1,Abl1,Mus musculus (Mouse),71
Abl1,A0A0A6YXS9,A0A0A6YXS9_MOUSE,unreviewed,Tyrosine-protein kinase ABL1,Abl1,Mus musculus (Mouse),78
Abl1,A0A0A6YY65,A0A0A6YY65_MOUSE,unreviewed,Tyrosine-protein kinase ABL1 (Fragment),Abl1,Mus musculus (Mouse),64
Abl1,A2AV23,A2AV23_MOUSE,unreviewed,Tyrosine-protein kinase ABL1 (Fragment),Abl1,Mus musculus (Mouse),114
Abl1,P00520,ABL1_MOUSE,reviewed,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Abl1 Abl,Mus musculus (Mouse),1123
Abl1,Q3SYK5,Q3SYK5_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Abl1,Mus musculus (Mouse),1142
